t,count
1508268090,0
1508268120,0
1508268150,0
1508268180,0
1508268210,6519791
1508268240,6519791
1508268270,13062973
1508268300,13062973
1508268330,13062973
1508268360,19606094
1508268390,19606094
1508268420,19606094
1508268450,26117769
1508268480,26117769
1508268510,26117769
1508268540,32604030
1508268570,32604030
1508268600,32604030
1508268630,39091127
1508268660,39091127
1508268690,45544923
1508268720,45544923
1508268750,45544923
1508268780,51988773
1508268810,51988773
1508268840,51988773
1508268870,58424218
1508268900,58424218
1508268930,58424218
1508268960,64863768
1508268990,64863768
1508269020,71252243
1508269050,71252243
1508269080,71252243
1508269110,77648148
1508269140,77648148
1508269170,77648148
1508269200,84033907
1508269230,84033907
1508269260,84033907
1508269290,90427146
1508269320,90427146
1508269350,96790837
1508269380,96790837
1508269410,96790837
1508269440,103176380
1508269470,103176380
1508269500,103176380
1508269530,109533081
1508269560,109533081
1508269590,115832128
1508269620,115832128
1508269650,115832128
1508269680,122154500
1508269710,122154500
1508269740,122154500
1508269770,128484216
1508269800,128484216
1508269830,134807871
1508269860,134807871
1508269890,134807871
1508269920,141093945
1508269950,141093945
1508269980,147381818
1508270010,147381818
1508270040,147381818
1508270070,153651861
1508270100,153651861
1508270130,153651861
1508270160,159927452
1508270190,159927452
1508270220,166144019
1508270250,166144019
1508270280,166144019
1508270310,172369990
1508270340,172369990
1508270370,178588141
1508270400,178588141
1508270430,178588141
1508270460,184814475
1508270490,184814475
1508270520,190958530
1508270550,190958530
1508270580,190958530
1508270610,197132428
1508270640,197132428
1508270670,203327105
1508270700,203327105
1508270730,203327105
1508270760,209494422
1508270790,209494422
1508270820,215622451
1508270850,215622451
1508270880,215622451
1508270910,221742123
1508270940,221742123
1508270970,227871901
1508271000,227871901
1508271030,227871901
1508271060,233994965
1508271090,233994965
1508271120,240097119
1508271150,240097119
1508271180,240097119
1508271210,240097119
1508271240,246968573
1508271270,246968573
1508271300,246968573
1508271330,253849545
1508271360,253849545
1508271390,253849545
1508271420,260409885
1508271450,260409885
1508271480,260409885
1508271510,266972035
1508271540,266972035
1508271570,266972035
1508271600,273522695
1508271630,273522695
1508271660,273522695
1508271690,280081644
1508271720,280081644
1508271750,280081644
1508271780,286597638
1508271810,286597638
1508271840,286597638
1508271870,293107334
1508271900,293107334
1508271930,299636475
1508271960,299636475
1508271990,299636475
1508272020,306121569
1508272050,306121569
1508272080,306121569
1508272110,312600672
1508272140,312600672
1508272170,312600672
1508272200,319107554
1508272230,319107554
1508272260,319107554
1508272290,325587546
1508272320,325587546
1508272350,325587546
1508272380,332014834
1508272410,332014834
1508272440,338457803
1508272470,338457803
1508272500,338457803
1508272530,344906485
1508272560,344906485
1508272590,344906485
1508272620,351300086
1508272650,351300086
1508272680,351300086
1508272710,357703221
1508272740,357703221
1508272770,364108040
1508272800,364108040
1508272830,364108040
1508272860,370505971
1508272890,370505971
1508272920,370505971
1508272950,376858367
1508272980,376858367
1508273010,383228456
1508273040,383228456
1508273070,383228456
1508273100,389598779
1508273130,389598779
1508273160,389598779
1508273190,395969181
1508273220,395969181
1508273250,402283145
1508273280,402283145
1508273310,402283145
1508273340,408584997
1508273370,408584997
1508273400,408584997
1508273430,414901027
1508273460,414901027
1508273490,421181484
1508273520,421181484
1508273550,421181484
1508273580,427450351
1508273610,427450351
1508273640,433726261
1508273670,433726261
1508273700,433726261
1508273730,440002289
1508273760,440002289
1508273790,446221304
1508273820,446221304
1508273850,446221304
1508273880,452446951
