t,count
1508195450,0
1508195480,0
1508195510,0
1508195540,0
1508195570,0
1508195600,0
1508195630,0
1508195660,0
1508195690,0
1508195720,0
1508195750,0
1508195780,0
1508195810,0
1508195840,0
1508195870,0
1508195900,0
1508195930,0
1508195960,0
1508195990,0
1508196020,0
1508196050,0
1508196080,0
1508196110,0
1508196140,9667937
1508196170,9667937
1508196200,9667937
1508196230,9667937
1508196260,9667937
1508196290,9667937
1508196320,9667937
1508196350,9667937
1508196380,9667937
1508196410,9667937
1508196440,9667937
1508196470,9667937
1508196500,9667937
1508196530,9667937
1508196560,9667937
1508196590,19841533
1508196620,19841533
1508196650,19841533
1508196680,19841533
1508196710,19841533
1508196740,19841533
1508196770,19841533
1508196800,19841533
1508196830,19841533
1508196860,19841533
1508196890,19841533
1508196920,19841533
1508196950,19841533
1508196980,19841533
1508197010,19841533
1508197040,19841533
1508197070,30235668
1508197100,30235668
1508197130,30235668
1508197160,30235668
1508197190,30235668
1508197220,30235668
1508197250,30235668
1508197280,30235668
1508197310,30235668
1508197340,30235668
1508197370,30235668
1508197400,30235668
1508197430,30235668
1508197460,30235668
1508197490,30235668
1508197520,40780592
1508197550,40780592
1508197580,40780592
1508197610,40780592
1508197640,40780592
1508197670,40780592
1508197700,40780592
1508197730,40780592
1508197760,40780592
1508197790,40780592
1508197820,40780592
1508197850,40780592
1508197880,40780592
1508197910,40780592
1508197940,40780592
1508197970,51402895
1508198000,51402895
1508198030,51402895
1508198060,51402895
1508198090,51402895
1508198120,51402895
1508198150,51402895
1508198180,51402895
1508198210,51402895
1508198240,51402895
1508198270,51402895
1508198300,51402895
1508198330,51402895
1508198360,51402895
1508198390,62073914
1508198420,62073914
1508198450,62073914
1508198480,62073914
1508198510,62073914
1508198540,62073914
1508198570,62073914
1508198600,62073914
1508198630,62073914
1508198660,62073914
1508198690,62073914
1508198720,62073914
1508198750,62073914
1508198780,62073914
1508198810,62073914
1508198840,62073914
1508198870,62073914
1508198900,62073914
1508198930,71543269
1508198960,71543269
1508198990,71543269
1508199020,71543269
1508199050,71543269
1508199080,71543269
1508199110,71543269
1508199140,71543269
1508199170,71543269
1508199200,71543269
1508199230,71543269
1508199260,71543269
1508199290,71543269
1508199320,71543269
1508199350,71543269
1508199380,71543269
1508199410,81615909
1508199440,81615909
1508199470,81615909
1508199500,81615909
1508199530,81615909
1508199560,81615909
1508199590,81615909
1508199620,81615909
1508199650,81615909
1508199680,81615909
1508199710,81615909
1508199740,81615909
1508199770,81615909
1508199800,81615909
1508199830,81615909
1508199860,81615909
1508199890,91958889
1508199920,91958889
1508199950,91958889
1508199980,91958889
1508200010,91958889
1508200040,91958889
1508200070,91958889
1508200100,91958889
1508200130,91958889
1508200160,91958889
1508200190,91958889
1508200220,91958889
1508200250,91958889
1508200280,91958889
1508200310,91958889
1508200340,91958889
1508200370,102449381
1508200400,102449381
1508200430,102449381
1508200460,102449381
1508200490,102449381
1508200520,102449381
1508200550,102449381
1508200580,102449381
1508200610,102449381
1508200640,102449381
1508200670,102449381
1508200700,102449381
1508200730,102449381
1508200760,102449381
1508200790,102449381
1508200820,113057058
1508200850,113057058
1508200880,113057058
1508200910,113057058
1508200940,113057058
1508200970,113057058
1508201000,113057058
1508201030,113057058
1508201060,113057058
1508201090,113057058
1508201120,113057058
1508201150,113057058
1508201180,113057058
1508201210,113057058
1508201240,113057058
1508201270,123732253
1508201300,123732253
1508201330,123732253
1508201360,123732253
1508201390,123732253
1508201420,123732253
1508201450,123732253
1508201480,123732253
1508201510,123732253
1508201540,123732253
1508201570,123732253
1508201600,123732253
1508201630,123732253
1508201660,123732253
1508201690,134447657
1508201720,134447657
1508201750,134447657
1508201780,134447657
1508201810,134447657
1508201840,134447657
1508201870,134447657
1508201900,134447657
1508201930,134447657
1508201960,134447657
1508201990,134447657
1508202020,134447657
1508202050,134447657
1508202080,134447657
1508202110,134447657
1508202140,145187052
1508202170,145187052
1508202200,145187052
1508202230,145187052
1508202260,145187052
1508202290,145187052
1508202320,145187052
1508202350,145187052
1508202380,145187052
1508202410,145187052
1508202440,145187052
1508202470,145187052
1508202500,145187052
1508202530,155943957
1508202560,155943957
1508202590,155943957
1508202620,155943957
1508202650,155943957
1508202680,155943957
1508202710,155943957
1508202740,155943957
1508202770,155943957
1508202800,155943957
1508202830,155943957
1508202860,155943957
1508202890,155943957
1508202920,155943957
1508202950,155943957
1508202980,155943957
1508203010,166721163
1508203040,166721163
1508203070,166721163
1508203100,166721163
1508203130,166721163
1508203160,166721163
1508203190,166721163
1508203220,166721163
1508203250,166721163
1508203280,166721163
1508203310,166721163
1508203340,166721163
1508203370,166721163
1508203400,166721163
1508203430,166721163
1508203460,166721163
1508203490,177510318
1508203520,177510318
1508203550,177510318
1508203580,177510318
1508203610,177510318
1508203640,177510318
1508203670,177510318
1508203700,177510318
1508203730,177510318
1508203760,177510318
1508203790,177510318
1508203820,177510318
1508203850,177510318
1508203880,177510318
1508203910,177510318
1508203940,177510318
1508203970,188314647
1508204000,188314647
1508204030,188314647
1508204060,188314647
1508204090,188314647
1508204120,188314647
1508204150,188314647
1508204180,188314647
1508204210,188314647
1508204240,188314647
1508204270,188314647
1508204300,188314647
1508204330,188314647
1508204360,188314647
1508204390,188314647
1508204420,188314647
1508204450,199126594
1508204480,199126594
1508204510,199126594
1508204540,199126594
1508204570,199126594
1508204600,199126594
1508204630,199126594
1508204660,199126594
1508204690,199126594
1508204720,199126594
1508204750,199126594
1508204780,199126594
1508204810,199126594
1508204840,199126594
1508204870,209943947
1508204900,209943947
1508204930,209943947
1508204960,209943947
