t,count
1508195447,0
1508195477,0
1508195507,4504481
1508195537,4504481
1508195567,9017360
1508195597,14432617
1508195627,14432617
1508195657,8188667
1508195687,13233466
1508195717,13233466
1508195747,18268206
1508195777,9256158
1508195807,9256158
1508195837,14303412
1508195867,19341512
1508195897,19341512
1508195927,9851187
1508195957,14894541
1508195987,14894541
1508196017,19898434
1508196047,10197423
1508196077,10197423
1508196107,15179491
1508196137,20180753
1508196167,25166913
1508196197,10449013
1508196227,15430995
1508196257,20370785
1508196287,20370785
1508196317,10622350
1508196347,15556059
1508196377,15556059
1508196407,20483241
1508196437,10730389
1508196467,10730389
1508196497,15671711
1508196527,20621443
1508196557,25517363
1508196587,10854162
1508196617,15739004
1508196647,20623806
1508196677,20623806
1508196707,10956194
1508196737,15829961
1508196767,15829961
1508196797,20715405
1508196827,11036224
1508196857,15873585
1508196887,15873585
1508196917,20712316
1508196947,11094327
1508196977,11094327
1508197007,15932590
1508197037,20762992
1508197067,25607912
1508197097,11141554
1508197127,15970660
1508197157,20807027
1508197187,20807027
1508197217,11186947
1508197247,15975742
1508197277,20767947
1508197307,20767947
1508197337,11222997
1508197367,16010210
1508197397,20790517
1508197427,20790517
1508197457,11261800
1508197487,15997234
1508197517,20736513
1508197547,20736513
1508197577,11311842
1508197607,16036647
1508197637,20778899
1508197667,20778899
1508197697,11342978
1508197727,16067087
1508197757,20751108
1508197787,20751108
1508197817,11355074
1508197847,16028036
1508197877,20706209
1508197907,20706209
1508197937,11377301
1508197967,16057057
1508197997,20752200
1508198027,20752200
1508198057,11389489
1508198087,16015308
1508198117,20642114
1508198147,20642114
1508198177,11411777
1508198207,16045101
1508198237,20676652
1508198267,11427344
1508198297,11427344
1508198327,16062904
1508198357,20691839
1508198387,11436269
1508198417,16006982
1508198447,16006982
1508198477,20580886
1508198507,25156872
1508198537,19328454
1508198567,19328454
1508198597,23907968
1508198627,28488021
1508198657,20364980
1508198687,24889539
1508198717,24889539
1508198747,29421881
1508198777,21065744
1508198807,25585659
1508198837,30117499
1508198867,30117499
1508198897,21423028
1508198927,25940617
1508198957,30469222
1508198987,21658320
1508199017,21658320
1508199047,26138901
1508199077,30617291
1508199107,21856455
1508199137,26329147
1508199167,26329147
1508199197,31735871
1508199227,31735871
1508199257,22052697
1508199287,27093992
1508199317,27093992
1508199347,32132400
1508199377,22182516
1508199407,22182516
1508199437,27224196
1508199467,32264351
1508199497,32264351
1508199527,22296902
1508199557,27349702
1508199587,27349702
1508199617,32335110
1508199647,22413812
1508199677,22413812
1508199707,27399287
1508199737,32389160
1508199767,32389160
1508199797,22480287
1508199827,27466712
1508199857,32442853
1508199887,32442853
1508199917,22548327
1508199947,27486163
1508199977,27486163
1508200007,32418601
1508200037,22596469
1508200067,22596469
1508200097,27538525
1508200127,32481575
1508200157,32481575
1508200187,22644325
1508200217,27526534
1508200247,27526534
1508200277,32413902
1508200307,22698633
1508200337,27590424
1508200367,27590424
1508200397,32483969
1508200427,22741722
1508200457,22741722
1508200487,27576572
1508200517,32411619
1508200547,37252609
1508200577,22771756
1508200607,27610289
1508200637,32453001
1508200667,32453001
1508200697,22789656
1508200727,27629560
1508200757,32468019
1508200787,32468019
1508200817,22813136
1508200847,27605588
1508200877,32394752
1508200907,32394752
1508200937,22831982
1508200967,27615299
1508200997,27615299
1508201027,32398675
1508201057,22848555
1508201087,27596983
1508201117,27596983
1508201147,32327792
1508201177,22865127
1508201207,27595926
1508201237,27595926
1508201267,32322306
1508201297,22880881
1508201327,27616667
1508201357,27616667
1508201387,32299153
1508201417,22889821
1508201447,27571023
1508201477,27571023
1508201507,32255273
1508201537,22905457
1508201567,27588831
1508201597,27588831
1508201627,32261541
1508201657,22918732
1508201687,27540672
1508201717,32174555
1508201747,32174555
1508201777,22927587
1508201807,27556113
1508201837,32187450
1508201867,32187450
1508201897,22934269
1508201927,27562656
1508201957,32187718
1508201987,32187718
1508202017,22940017
1508202047,27517597
1508202077,32097746
1508202107,22948878
1508202137,22948878
1508202167,27529798
1508202197,32112110
1508202227,22954471
1508202257,27536692
1508202287,27536692
1508202317,32056625
1508202347,22962313
1508202377,27492937
1508202407,32016623
1508202437,32016623
1508202467,22966838
1508202497,27494979
1508202527,32020021
1508202557,22971262
1508202587,22971262
1508202617,27445666
1508202647,31925801
1508202677,22972515
1508202707,27452154
1508202737,31926058
1508202767,31926058
1508202797,22981375
1508202827,22981375
1508202857,28391919
1508202887,33421896
1508202917,33421896
1508202947,22989189
1508202977,28030056
1508203007,28030056
1508203037,33073484
1508203067,38120792
1508203097,22998015
1508203127,28031082
1508203157,33071291
1508203187,33071291
1508203217,23001410
1508203247,27996588
1508203277,27996588
1508203307,32984438
1508203337,37969186
1508203367,23004752
1508203397,27983467
1508203427,32973324
1508203457,32973324
1508203487,23008141
1508203517,27948637
1508203547,27948637
1508203577,32884306
1508203607,23012626
1508203637,23012626
1508203667,27948993
1508203697,32885784
1508203727,32885784
1508203757,23014863
1508203787,27914300
1508203817,32800647
1508203847,32800647
1508203877,23014909
1508203907,27909601
1508203937,27909601
1508203967,32794397
1508203997,23019380
1508204027,23019380
1508204057,27899559
1508204087,32730435
1508204117,23022706
1508204147,23022706
1508204177,27856978
1508204207,32687205
1508204237,32687205
1508204267,23023874
1508204297,27855068
1508204327,32689138
1508204357,32689138
1508204387,23026103
1508204417,27819880
1508204447,27819880
1508204477,32602243
1508204507,23027233
1508204537,27810467
1508204567,27810467
1508204597,32592502
1508204627,23028330
1508204657,27825365
1508204687,27825365
1508204717,32554025
1508204747,23029442
1508204777,27769057
1508204807,27769057
1508204837,32499865
1508204867,23033837
1508204897,27762216
1508204927,27762216
1508204957,32489038
1508204987,23033868
1508205017,27716044
1508205047,27716044
1508205077,32397083
1508205107,23033868
1508205137,27710415
1508205167,27710415
1508205197,32389738
1508205227,23036134
1508205257,27724859
1508205287,32348887
1508205317,32348887
1508205347,23036289
1508205377,27662163
1508205407,32288135
1508205437,32288135
1508205467,23037263
1508205497,27671296
1508205527,32306607
1508205557,36940573
1508205587,23039459
1508205617,27617254
1508205647,32191094
1508205677,23039607
1508205707,23039607
1508205737,27621267
1508205767,32204558
1508205797,23366266
1508205827,27945893
1508205857,27945893
1508205887,32526452
1508205917,23366073
1508205947,27896866
1508205977,32421165
1508206007,32421165
1508206037,23364751
1508206067,27894515
1508206097,32417096
1508206127,23365687
1508206157,23365687
1508206187,27893695
1508206217,32364756
1508206247,23367039
1508206277,27839218
1508206307,32311755
1508206337,32311755
1508206367,23367974
1508206397,28780026
1508206427,28780026
1508206457,34188031
1508206487,34188031
1508206517,23366847
1508206547,28410624
1508206577,28410624
1508206607,33453937
1508206637,23369297
1508206667,23369297
1508206697,28402931
1508206727,33448445
1508206757,33448445
1508206787,23370234
1508206817,28358917
1508206847,28358917
1508206877,33341933
1508206907,23370040
1508206937,23370040
1508206967,28349255
1508206997,33344119
1508207027,33344119
1508207057,23372527
1508207087,28313157
1508207117,33249739
1508207147,33249739
1508207177,23373463
1508207207,28318980
1508207237,28318980
1508207267,33251602
1508207297,23373849
1508207327,23373849
1508207357,28310588
1508207387,33209708
1508207417,38099897
1508207447,23374978
1508207477,28269582
1508207507,33158134
1508207537,33158134
1508207567,23376107
1508207597,28268913
1508207627,28268913
1508207657,33148129
1508207687,23485627
1508207717,28321865
1508207747,28321865
1508207777,33151910
1508207807,23607997
1508207837,23607997
1508207867,28450284
1508207897,33280643
1508207927,38114425
1508207957,23637060
1508207987,28418291
1508208017,33204734
1508208047,33204734
1508208077,23651439
1508208107,28434593
1508208137,33218276
1508208167,33218276
1508208197,23664687
1508208227,28437689
1508208257,33227812
1508208287,33227812
1508208317,23671041
1508208347,28401953
1508208377,33136782
1508208407,33136782
1508208437,23675810
1508208467,28406231
1508208497,33136152
1508208527,33136152
1508208557,23679493
1508208587,28360506
1508208617,33049082
1508208647,33049082
1508208677,23683855
1508208707,28370577
1508208737,33051159
1508208767,33051159
1508208797,23686606
1508208827,28372272
1508208857,33046509
1508208887,33046509
1508208917,23689118
1508208947,28319406
1508208977,32954946
1508209007,37591474
1508209037,23691473
1508209067,28324438
1508209097,32960019
1508209127,23694192
1508209157,23694192
1508209187,28323148
1508209217,32903846
1508209247,28275709
1508209277,32853751
1508209307,32853751
1508209337,37430497
1508209367,20140207
1508209397,24703338
1508209427,29276543
1508209457,29276543
1508209487,21157007
1508209517,25679404
1508209547,30210104
1508209577,21878315
1508209607,21878315
1508209637,26398550
1508209667,30920763
1508209697,22230604
1508209727,26764003
1508209757,26764003
1508209787,31292001
1508209817,22495439
1508209847,26979335
1508209877,31453808
1508209907,35921854
1508209937,22669983
1508209967,27148099
1508209997,32560183
1508210027,32560183
1508210057,22857639
1508210087,22857639
1508210117,27903317
1508210147,32936467
1508210177,32936467
1508210207,22982993
1508210237,28023172
1508210267,28023172
1508210297,33066903
1508210327,23085689
1508210357,23085689
1508210387,28126366
1508210417,33117334
1508210447,33117334
1508210477,23167245
1508210507,28146811
1508210537,28146811
1508210567,33134566
1508210597,23255621
1508210627,28242838
1508210657,28242838
1508210687,33176028
1508210717,38110037
1508210747,23314745
1508210777,28253866
1508210807,33185381
1508210837,33185381
1508210867,23384937
1508210897,28321295
1508210927,28321295
1508210957,33253972
1508210987,23438418
1508211017,23438418
1508211047,28332595
1508211077,33217994
1508211107,38107985
1508211137,23469842
1508211167,28359547
1508211197,33244448
1508211227,33244448
1508211257,23493638
1508211287,28327951
