t,count
1508268104,0
1508268134,0
1508268164,0
1508268194,0
1508268224,0
1508268254,0
1508268284,0
1508268314,0
1508268344,0
1508268374,0
1508268404,0
1508268434,0
1508268464,0
1508268494,0
1508268524,0
1508268554,0
1508268584,0
1508268614,0
1508268644,0
1508268674,0
1508268704,0
1508268734,0
1508268764,0
1508268794,0
1508268824,0
1508268854,0
1508268884,0
1508268914,0
1508268944,0
1508268974,0
1508269004,0
1508269034,0
1508269064,0
1508269094,0
1508269124,0
1508269154,0
1508269184,0
1508269214,0
1508269244,0
1508269274,0
1508269304,0
1508269334,0
1508269364,0
1508269394,0
1508269424,0
1508269454,0
1508269484,0
1508269514,0
1508269544,0
1508269574,0
1508269604,0
1508269634,0
1508269664,0
1508269694,0
1508269724,0
1508269754,0
1508269784,0
1508269814,0
1508269844,0
1508269874,0
1508269904,0
1508269934,0
1508269964,0
1508269994,0
1508270024,0
1508270054,0
1508270084,0
1508270114,0
1508270144,0
1508270174,0
1508270204,0
1508270234,0
1508270264,0
1508270294,0
1508270324,0
1508270354,0
1508270384,0
1508270414,0
1508270444,0
1508270474,0
1508270504,0
1508270534,0
1508270564,0
1508270594,0
1508270624,0
1508270654,0
1508270684,0
1508270714,0
1508270744,0
1508270774,0
1508270804,0
1508270834,0
1508270864,0
1508270894,0
1508270924,0
1508270954,0
1508270984,0
1508271014,0
1508271044,0
1508271074,0
1508271104,0
1508271134,0
1508271164,0
1508271194,0
1508271224,0
1508271254,0
1508271284,0
1508271314,0
1508271344,0
1508271374,0
1508271404,0
1508271434,0
1508271464,0
1508271494,0
1508271524,0
1508271554,0
1508271584,0
1508271614,0
1508271644,0
1508271674,0
1508271704,0
1508271734,0
1508271764,0
1508271794,0
1508271824,0
1508271854,0
1508271884,0
1508271914,0
1508271944,0
1508271974,0
1508272004,0
1508272034,0
1508272064,0
1508272094,0
1508272124,0
1508272154,0
1508272184,0
1508272214,0
1508272244,0
1508272274,0
1508272304,0
1508272334,0
1508272364,0
1508272394,0
1508272424,0
1508272454,0
1508272484,0
1508272514,0
1508272544,0
1508272574,0
1508272604,0
1508272634,0
1508272664,0
1508272694,0
1508272724,0
1508272754,0
1508272784,0
1508272814,0
1508272844,0
1508272874,0
1508272904,0
1508272934,0
1508272964,0
1508272994,0
1508273024,0
1508273054,0
1508273084,0
1508273114,0
1508273144,0
1508273174,0
1508273204,0
1508273234,0
1508273264,0
1508273294,0
1508273324,0
1508273354,0
1508273384,0
1508273414,0
1508273444,0
1508273474,0
1508273504,0
1508273534,0
1508273564,0
1508273594,0
1508273624,0
1508273654,0
1508273684,0
1508273714,0
1508273744,0
1508273774,0
1508273804,0
1508273834,0
1508273864,0
1508273894,0
1508273924,0
1508273954,0
1508273984,0
1508274014,0
1508274044,0
1508274074,0
1508274104,0
1508274134,0
1508274164,0
1508274194,0
1508274224,0
1508274254,0
1508274284,0
1508274314,0
1508274344,0
1508274374,0
1508274404,0
1508274434,0
1508274464,0
1508274494,0
1508274524,0
1508274554,0
1508274584,0
1508274614,0
1508274644,0
1508274674,0
1508274704,0
1508274734,0
1508274764,0
1508274794,0
1508274824,0
1508274854,0
1508274884,0
1508274914,0
1508274944,0
1508274974,0
1508275004,0
1508275034,0
1508275064,0
1508275094,0
1508275124,0
1508275154,0
1508275184,0
1508275214,0
1508275244,0
1508275274,0
1508275304,0
1508275334,0
1508275364,0
1508275394,0
1508275424,0
1508275454,0
1508275484,0
1508275514,0
1508275544,0
1508275574,0
1508275604,0
1508275634,0
1508275664,0
1508275694,0
1508275724,0
1508275754,0
1508275784,0
1508275814,0
1508275844,0
1508275874,0
1508275904,0
1508275934,0
1508275964,0
1508275994,0
1508276024,0
1508276054,0
1508276084,0
1508276114,0
1508276144,0
1508276174,0
1508276204,0
1508276234,0
1508276264,0
1508276294,0
1508276324,0
1508276354,0
1508276384,0
1508276414,0
1508276444,0
1508276474,0
1508276504,0
1508276534,0
1508276564,0
1508276594,0
1508276624,0
1508276654,0
1508276684,0
1508276714,0
1508276744,0
1508276774,0
1508276804,0
1508276834,0
1508276864,0
1508276894,0
1508276924,0
