t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508093749,0,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1508093779,2341,1.629722,0.035771,0.017085,0.053686,0.029521,0.042510,0.061214,0.073457,0.088148,0.943127,69.992372,27.594501,6.139412,2.084134,calls/second,milliseconds
1508093809,6607,1.131752,0.041141,0.017085,0.047154,0.035425,0.042510,0.061214,0.073457,0.105778,0.654949,104.145645,72.022757,18.928291,6.622995,calls/second,milliseconds
1508093839,12023,43.388628,0.049063,0.017085,0.484715,0.042510,0.042510,0.061214,0.088148,0.152321,1.131752,128.655442,113.273406,33.836561,12.155323,calls/second,milliseconds
1508093869,17713,43.388628,0.052542,0.017085,0.600054,0.042510,0.051012,0.061214,0.088148,0.126934,1.131752,143.484862,143.090272,48.600761,17.952074,calls/second,milliseconds
1508093899,23352,43.388628,0.055021,0.017085,0.559900,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,152.180373,161.667140,62.057030,23.591053,calls/second,milliseconds
1508093929,29004,43.388628,0.059084,0.017085,0.752849,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,158.069232,171.594788,73.932769,28.942976,calls/second,milliseconds
1508093959,34697,43.388628,0.057262,0.017085,0.633979,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,162.552855,179.270764,85.059501,34.249886,calls/second,milliseconds
1508093989,40389,43.388628,0.056207,0.017085,0.621225,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,165.902530,183.533528,95.045655,39.355229,calls/second,milliseconds
1508094019,45517,43.388628,0.060229,0.017085,0.716072,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,166.458899,178.991824,102.416389,43.723137,calls/second,milliseconds
1508094049,50744,43.388628,0.057230,0.017085,0.619868,0.042510,0.051012,0.073457,0.088148,0.219342,1.358102,167.224486,176.882233,109.171110,47.972971,calls/second,milliseconds
1508094079,55987,43.388628,0.053848,0.017085,0.507369,0.042510,0.051012,0.073457,0.088148,0.219342,1.358102,167.904226,175.778031,115.377477,52.119089,calls/second,milliseconds
1508094109,61160,43.388628,0.055395,0.017085,0.507818,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,168.260843,174.335643,120.792979,56.059650,calls/second,milliseconds
1508094139,66387,43.388628,0.052663,0.017085,0.506192,0.042510,0.051012,0.061214,0.088148,0.182785,1.131752,168.733570,174.502226,125.918719,59.947200,calls/second,milliseconds
1508094169,71612,43.388628,0.059361,0.017085,0.711117,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,169.115316,174.340640,130.508798,63.691610,calls/second,milliseconds
1508094199,76860,43.388628,0.058387,0.017085,0.710599,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,169.500837,174.247044,134.669574,67.316304,calls/second,milliseconds
1508094229,82081,43.388628,0.058751,0.017085,0.710839,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,169.782782,174.123354,138.421406,70.817769,calls/second,milliseconds
1508094259,87334,43.388628,0.058498,0.017085,0.709978,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,170.084860,174.833135,141.980628,74.259741,calls/second,milliseconds
1508094289,92634,43.388628,0.055404,0.017085,0.615045,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,170.456449,174.840339,145.130472,77.566197,calls/second,milliseconds
1508094319,97797,43.388628,0.059487,0.017085,0.710075,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,170.538928,174.510380,147.931167,80.749106,calls/second,milliseconds
1508094349,103070,43.388628,0.054959,0.017085,0.615662,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,170.802936,174.743783,150.522112,83.844390,calls/second,milliseconds
1508094379,108441,43.388628,0.055570,0.017085,0.581974,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.191016,175.954489,153.083309,86.910453,calls/second,milliseconds
1508094409,113579,43.388628,0.057521,0.017085,0.682784,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,171.195113,175.097964,155.063896,89.762983,calls/second,milliseconds
1508094439,118667,43.388628,0.056149,0.017085,0.618871,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.126056,173.101833,156.468368,92.386434,calls/second,milliseconds
1508094469,123776,43.388628,0.059161,0.017085,0.714536,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.092217,172.123045,157.762815,94.930229,calls/second,milliseconds
1508094499,129064,43.388628,0.059354,0.017085,0.712284,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,171.298695,173.283061,159.389723,97.549323,calls/second,milliseconds
1508094529,134272,43.388628,0.060587,0.017085,0.712180,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.385061,173.057895,160.641120,100.006929,calls/second,milliseconds
1508094559,139456,43.388628,0.061828,0.017085,0.795835,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.438412,174.345189,162.169598,102.523439,calls/second,milliseconds
1508094589,144466,43.388628,0.060165,0.017085,0.717167,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.280568,173.272769,163.017154,104.767750,calls/second,milliseconds
1508094619,148496,43.388628,0.058117,0.017085,0.708951,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,170.003038,156.126576,159.537134,105.461386,calls/second,milliseconds
1508094649,154221,43.388628,0.057889,0.017085,0.690935,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,170.703083,169.563674,162.479044,108.248750,calls/second,milliseconds
1508094679,160047,43.388628,0.060026,0.017085,0.762710,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,171.458639,179.764537,165.582881,111.093829,calls/second,milliseconds
1508094709,165578,43.388628,0.062881,0.017085,0.812752,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,171.860882,182.014036,167.546844,113.560711,calls/second,milliseconds
1508094739,170719,43.388628,0.057898,0.017085,0.678507,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.845408,177.472713,167.817261,115.423271,calls/second,milliseconds
1508094769,175890,43.388628,0.057220,0.017085,0.679781,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,171.854500,176.015438,168.393434,117.340055,calls/second,milliseconds
1508094799,181152,43.388628,0.059955,0.017085,0.709560,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.961380,175.522868,168.954308,119.204373,calls/second,milliseconds
1508094829,186409,43.388628,0.061840,0.017085,0.815287,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.051010,175.520952,169.554956,121.040854,calls/second,milliseconds
1508094859,191689,43.388628,0.061339,0.017085,0.736245,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,172.158394,175.326928,170.094202,122.818100,calls/second,milliseconds
1508094889,196925,43.388628,0.064798,0.017085,0.867410,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,172.220174,175.237257,170.595448,124.542238,calls/second,milliseconds
1508094919,202289,43.388628,0.061525,0.017085,0.764329,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.389342,176.476133,171.317923,126.299761,calls/second,milliseconds
1508094949,207472,43.388628,0.062065,0.017085,0.792662,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.398496,175.525112,171.553976,127.855529,calls/second,milliseconds
1508094979,212723,43.388628,0.060253,0.017085,0.737270,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.462392,175.271729,171.900013,129.409018,calls/second,milliseconds
1508095009,217953,43.388628,0.058481,0.017085,0.710824,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.506736,175.544695,172.248943,130.920061,calls/second,milliseconds
1508095039,223178,43.388628,0.066117,0.017085,0.915600,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.539612,174.546899,172.313154,132.296589,calls/second,milliseconds
1508095069,228217,43.388628,0.060640,0.017085,0.771959,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.441304,171.996136,171.908827,133.469243,calls/second,milliseconds
1508095099,233471,43.388628,0.060706,0.017085,0.794608,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.501168,173.161690,172.154223,134.811345,calls/second,milliseconds
1508095129,238690,43.388628,0.062470,0.017085,0.794864,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.532657,173.276635,172.324571,136.096951,calls/second,milliseconds
1508095159,243917,43.388628,0.059807,0.017085,0.740313,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.568696,173.372449,172.438748,137.324152,calls/second,milliseconds
1508095189,249222,43.388628,0.061425,0.017085,0.739408,0.042510,0.051012,0.073457,0.088148,0.219342,1.629722,172.657215,175.547047,173.068689,138.693270,calls/second,milliseconds
