t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508268079,0,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1508268109,2049,1.358102,0.035481,0.017085,0.055976,0.029521,0.035425,0.051012,0.073457,0.105778,1.131752,63.311390,25.124008,5.542127,1.878567,calls/second,milliseconds
1508268139,6447,36.157190,0.047890,0.020502,0.509697,0.035425,0.042510,0.061214,0.088148,0.126934,0.654949,103.371806,72.213416,18.730609,6.538560,calls/second,milliseconds
1508268169,11894,43.388628,0.056332,0.017085,0.712632,0.029521,0.042510,0.061214,0.088148,0.152321,1.629722,128.766532,114.548109,34.068688,12.222843,calls/second,milliseconds
1508268199,17413,43.388628,0.055810,0.017085,0.673643,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,142.260781,141.876521,48.407082,17.882859,calls/second,milliseconds
1508268229,23006,43.388628,0.060072,0.017085,0.838774,0.035425,0.042510,0.061214,0.088148,0.152321,1.358102,150.988934,159.554979,61.567126,23.416588,calls/second,milliseconds
1508268259,28550,43.388628,0.057458,0.017085,0.758269,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,156.553157,169.499565,73.307738,28.712557,calls/second,milliseconds
1508268289,34351,43.388628,0.052882,0.017085,0.633841,0.042510,0.051012,0.061214,0.088148,0.126934,1.131752,161.727184,178.887202,84.732798,34.110557,calls/second,milliseconds
1508268319,40054,43.388628,0.049947,0.017085,0.508307,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,165.260612,183.250312,94.724325,39.210950,calls/second,milliseconds
1508268349,45490,43.388628,0.050719,0.017085,0.503848,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,167.015414,182.158059,102.965044,43.874507,calls/second,milliseconds
1508268379,50687,43.388628,0.052518,0.017085,0.615219,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,167.633647,178.760213,109.685285,48.127233,calls/second,milliseconds
1508268409,55957,43.388628,0.053689,0.017085,0.615107,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,168.356674,177.454932,115.957402,52.306959,calls/second,milliseconds
1508268439,61149,43.388628,0.056590,0.017085,0.710291,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,168.750051,176.284210,121.558691,56.325140,calls/second,milliseconds
1508268469,66319,43.388628,0.053207,0.017085,0.618026,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,169.004467,174.041331,126.235925,60.075626,calls/second,milliseconds
1508268499,71551,43.388628,0.054430,0.017085,0.618961,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,169.389774,173.992903,130.764431,63.804204,calls/second,milliseconds
1508268529,76877,43.388628,0.056075,0.017085,0.683069,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,169.943164,175.711100,135.329770,67.574272,calls/second,milliseconds
1508268559,82172,43.388628,0.059939,0.017085,0.767420,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,170.350280,175.584828,139.163132,71.117367,calls/second,milliseconds
1508268589,87483,43.388628,0.060390,0.017085,0.792825,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,170.728255,176.029264,142.762905,74.589959,calls/second,milliseconds
1508268619,92615,43.388628,0.062970,0.017085,0.847830,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,170.759742,174.294295,145.506940,77.770295,calls/second,milliseconds
1508268649,97796,43.388628,0.062300,0.017085,0.825064,0.042510,0.051012,0.061214,0.088148,0.182785,1.629722,170.860636,173.782655,148.131119,80.895392,calls/second,milliseconds
