metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;dt4 - Média ;DT4 - MI
Table.ReadLatency.lucasdb.iot_data_dt;1511040089;50368002;mean;0,039116;0,040402;0,038938;0,033273;0,039062;0,036484;0,155213;0,029661;0,041661;0,167508;0,0621318;0,053018625
Table.ReadLatency.lucasdb.iot_data_dt;1511040119;50368003;mean;0,050441;0,069272;0,039533;0,06043;0,079056;0,11557;0,321164;0,050879;0,115727;0,077372;0,0979444;0,077343375
Table.ReadLatency.lucasdb.iot_data_dt;1511040149;50368004;mean;0,058078;0,065026;0,08181;0,073457;0,086109;0,130709;0,228536;0,071457;0,096542;0,063622;0,0955346;0,0835915
Table.ReadLatency.lucasdb.iot_data_dt;1511040179;50368005;mean;0,077022;0,08303;0,120095;0,089172;0,082684;0,130869;0,141199;0,066976;0,082325;0,0552;0,0928572;0,091521625
Table.ReadLatency.lucasdb.iot_data_dt;1511040209;50368006;mean;0,078759;0,098021;0,080052;0,116365;0,105079;0,127334;0,119516;0,13168;0,107844;0,062357;0,1027007;0,10412125
Table.ReadLatency.lucasdb.iot_data_dt;1511040239;50368007;mean;0,085758;0,102038;0,07747;0,118833;0,115238;0,117961;0,117734;0,137737;0,103339;0,288641;0,1264749;0,11232975
Table.ReadLatency.lucasdb.iot_data_dt;1511040269;50368008;mean;0,088894;0,092373;2,01945;0,097264;0,091567;0,129408;0,123639;0,14502;0,084108;0,28855;0,3160273;0,132089375
Table.ReadLatency.lucasdb.iot_data_dt;1511040299;50368009;mean;0,119938;0,101136;1,072245;0,106376;0,377892;0,176511;0,103133;0,090309;0,10755;0,088605;0,2343695;0,147855625
Table.ReadLatency.lucasdb.iot_data_dt;1511040329;50368010;mean;0,145382;0,110347;0,819037;0,150771;0,350755;0,150641;0,153274;0,604485;0,149478;0,091653;0,2725823;0,226891625
Table.ReadLatency.lucasdb.iot_data_dt;1511040359;50368011;mean;0,125154;0,100024;0,849518;0,198422;0,134666;0,164615;0,323405;0,346146;0,167012;0,101864;0,2510826;0,1951605
Table.ReadLatency.lucasdb.iot_data_dt;1511040389;50368012;mean;0,155923;0,106225;0,119489;0,160457;0,130838;0,164294;0,301951;0,574843;0,136306;0,300323;0,2150649;0,183697625
Table.ReadLatency.lucasdb.iot_data_dt;1511040419;50368013;mean;0,247905;0,112925;0,194167;0,115621;0,165071;0,1745;0,152452;0,369569;0,277226;0,30715;0,2116586;0,2042615
Table.ReadLatency.lucasdb.iot_data_dt;1511040449;50368014;mean;0,191802;0,131843;0,167202;0,113846;0,191765;0,214805;0,138275;0,463041;0,313494;0,095593;0,2021666;0,182879
Table.ReadLatency.lucasdb.iot_data_dt;1511040479;50368015;mean;0,208851;0,1131;0,193936;0,388924;0,133637;0,141699;0,127251;0,462752;0,128743;0,111487;0,201038;0,179517625
Table.ReadLatency.lucasdb.iot_data_dt;1511040509;50368016;mean;0,20439;0,113547;0,215836;0,372794;0,149578;0,260791;0,14204;0,201817;0,136595;0,369102;0,216649;0,210018625
Table.ReadLatency.lucasdb.iot_data_dt;1511040539;50368017;mean;0,147482;0,128146;0,269951;0,368595;0,144564;0,267599;0,149212;0,396045;0,15591;0,340116;0,236762;0,230428625
Table.ReadLatency.lucasdb.iot_data_dt;1511040569;50368018;mean;0,148874;0,12509;0,229053;0,214697;0,313854;0,387179;0,184878;0,380787;0,209267;0,302688;0,2496367;0,24801225
Table.ReadLatency.lucasdb.iot_data_dt;1511040599;50368019;mean;0,223756;0,146094;0,160633;0,193349;0,379449;0,425795;0,179333;0,319169;0,232345;0,095768;0,2355691;0,229266
