metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.ReadLatency.lucasdb.iot_data_dt	1511058659	50368621	mean	0.029193	0.019780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Table.ReadLatency.lucasdb.iot_data_dt	1511058689	50368622	mean	0.039858	0.035783	0.023206	0.036921	0.038065	0.025751	0.028665	0.031277	0.024168	0.019513
Table.ReadLatency.lucasdb.iot_data_dt	1511058719	50368623	mean	0.048159	0.047854	0.035281	0.058275	0.079819	0.039926	0.037692	0.039916	0.036517	0.045512
Table.ReadLatency.lucasdb.iot_data_dt	1511058749	50368624	mean	0.058307	0.053638	0.497603	0.081057	0.099359	0.063459	0.047374	0.048338	0.044309	0.048462
Table.ReadLatency.lucasdb.iot_data_dt	1511058779	50368625	mean	0.089337	0.078551	0.433898	0.071008	0.072568	0.082969	0.057479	0.052147	0.052591	0.038541
Table.ReadLatency.lucasdb.iot_data_dt	1511058809	50368626	mean	0.116401	0.093209	0.062838	0.094102	0.069041	0.090320	0.067779	0.070926	0.087033	0.042679
Table.ReadLatency.lucasdb.iot_data_dt	1511058839	50368627	mean	0.101098	0.090834	0.109161	0.112215	0.071335	0.115048	0.080912	0.111691	0.096310	0.052905
Table.ReadLatency.lucasdb.iot_data_dt	1511058869	50368628	mean	0.129363	0.089831	0.114072	0.092687	0.095187	0.154518	0.262250	0.108990	0.080491	0.081170
Table.ReadLatency.lucasdb.iot_data_dt	1511058899	50368629	mean	0.112383	0.101581	0.184948	0.094921	0.110904	0.127840	0.277494	0.089272	0.100917	0.092959
Table.ReadLatency.lucasdb.iot_data_dt	1511058929	50368630	mean	0.117393	0.101019	0.226699	0.173006	0.115809	0.122659	0.139782	0.165226	0.104299	0.156036
Table.ReadLatency.lucasdb.iot_data_dt	1511058959	50368631	mean	0.144035	0.114324	0.134835	0.209569	0.164111	0.169586	0.164830	0.168224	0.088885	0.205899
Table.ReadLatency.lucasdb.iot_data_dt	1511058989	50368632	mean	0.123469	0.136851	0.115542	0.159868	0.165487	0.195938	0.147239	0.131694	0.108340	0.214428
Table.ReadLatency.lucasdb.iot_data_dt	1511059019	50368633	mean	0.136357	0.155677	0.129680	0.135142	0.128544	0.119638	0.151169	0.095240	0.146658	0.167440
Table.ReadLatency.lucasdb.iot_data_dt	1511059049	50368634	mean	0.182529	0.140320	0.160437	0.220819	0.134410	0.116122	0.126237	0.140804	0.183019	0.185743
