metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.ReadLatency.lucasdb.iot_data_tw	1511087249	50369574	mean	0.038729	0.033844	NaN	0.019657	NaN	NaN	0.030806	0.024929	0.025300	0.018118
Table.ReadLatency.lucasdb.iot_data_tw	1511087279	50369575	mean	0.127002	0.046521	0.031722	0.038595	0.078724	0.028604	0.064386	0.033670	0.032888	0.039293
Table.ReadLatency.lucasdb.iot_data_tw	1511087309	50369576	mean	0.118361	0.054661	0.042523	0.043594	0.083895	0.042266	0.061996	0.044154	0.047450	0.080031
Table.ReadLatency.lucasdb.iot_data_tw	1511087339	50369577	mean	0.064679	0.073432	0.047174	0.073028	0.066645	0.051895	0.058378	0.070159	0.051248	0.057282
Table.ReadLatency.lucasdb.iot_data_tw	1511087369	50369578	mean	0.078882	0.086028	0.051579	0.077016	0.073685	0.052040	0.059828	0.092795	0.052592	0.057107
Table.ReadLatency.lucasdb.iot_data_tw	1511087399	50369579	mean	0.095314	0.090478	0.057831	0.064392	0.354852	0.088811	0.064752	0.101401	0.057912	0.054714
Table.ReadLatency.lucasdb.iot_data_tw	1511087429	50369580	mean	0.114663	0.092367	0.056182	0.066543	0.350161	0.093015	0.072684	0.092846	0.060251	0.051528
Table.ReadLatency.lucasdb.iot_data_tw	1511087459	50369581	mean	0.110796	0.099981	0.073621	0.079366	0.089412	0.083469	0.067659	0.088490	0.062195	0.065230
Table.ReadLatency.lucasdb.iot_data_tw	1511087489	50369582	mean	0.118016	0.090193	0.091347	0.101853	0.090407	0.104372	0.071524	0.075190	0.071766	0.251158
Table.ReadLatency.lucasdb.iot_data_tw	1511087519	50369583	mean	0.115258	0.099897	0.105936	0.181742	0.084433	0.103588	0.094586	0.089796	0.089635	0.247603
Table.ReadLatency.lucasdb.iot_data_tw	1511087549	50369584	mean	0.137756	0.100603	0.087388	0.178386	0.101838	0.085353	0.116185	0.091883	0.115430	0.081490
Table.ReadLatency.lucasdb.iot_data_tw	1511087579	50369585	mean	0.210187	0.116953	0.160888	0.262794	0.117333	0.097038	0.111037	0.115968	0.110965	0.076846
Table.ReadLatency.lucasdb.iot_data_tw	1511087609	50369586	mean	0.211918	0.125776	0.185795	0.304901	0.146672	0.100799	0.105882	0.149527	0.147337	0.082038
Table.ReadLatency.lucasdb.iot_data_tw	1511087639	50369587	mean	0.148532	0.133006	0.151986	0.256592	0.155020	0.153584	0.132121	0.210023	0.157644	0.088328
Table.ReadLatency.lucasdb.iot_data_tw	1511087669	50369588	mean	0.180365	0.139054	0.135521	0.215144	0.294116	0.211796	0.158985	0.187328	0.249441	0.094091
Table.ReadLatency.lucasdb.iot_data_tw	1511087699	50369589	mean	0.179773	0.137931	0.122418	0.178054	0.262715	0.212323	0.180820	0.164583	0.271321	0.105329
Table.ReadLatency.lucasdb.iot_data_tw	1511087729	50369590	mean	0.173991	0.154176	0.111588	0.201587	0.162958	0.166318	0.142622	0.177034	0.171883	0.098985
Table.ReadLatency.lucasdb.iot_data_tw	1511087759	50369591	mean	0.150302	0.176600	0.397903	8.990544	0.274316	0.174481	0.274564	0.212357	0.160787	0.116711
Table.ReadLatency.lucasdb.iot_data_tw	1511087789	50369592	mean	0.165834	0.166327	0.484794	9.682505	0.310460	0.160699	0.316559	0.185356	0.171426	0.107728
Table.ReadLatency.lucasdb.iot_data_tw	1511087819	50369593	mean	0.216119	0.150121	0.295610	0.305997	0.282861	0.136493	0.214599	0.206419	0.181187	0.111038
Table.ReadLatency.lucasdb.iot_data_tw	1511087849	50369594	mean	0.200758	0.169858	0.318954	0.351372	0.189799	0.199452	0.209241	0.218959	0.169204	0.133848
Table.ReadLatency.lucasdb.iot_data_tw	1511087879	50369595	mean	0.213854	0.180505	0.236375	0.334779	0.201857	0.245773	0.198471	0.182727	0.169112	0.142218
Table.ReadLatency.lucasdb.iot_data_tw	1511087909	50369596	mean	0.205305	0.168106	0.158613	0.251845	0.401473	0.192260	0.194130	0.258147	0.163207	0.123921
Table.ReadLatency.lucasdb.iot_data_tw	1511087939	50369597	mean	0.219241	0.180314	0.230587	0.255355	0.407998	0.191701	0.151557	0.533740	0.162712	0.136103
Table.ReadLatency.lucasdb.iot_data_tw	1511087969	50369598	mean	1.123855	0.197862	0.224765	0.297489	0.530118	0.225038	0.237696	0.516918	0.157729	0.135678
Table.ReadLatency.lucasdb.iot_data_tw	1511087999	50369599	mean	1.759687	0.194705	0.251930	0.289171	0.511933	0.328606	0.369597	0.243620	0.191672	0.126866
Table.ReadLatency.lucasdb.iot_data_tw	1511088029	50369600	mean	2.905693	0.217561	0.226406	2.806403	0.334416	0.394456	7.280468	0.306754	0.245852	0.158123
Table.ReadLatency.lucasdb.iot_data_tw	1511088059	50369601	mean	3.110407	0.222829	2.480049	6.998974	0.350871	0.435051	65.778496	0.264049	0.209737	0.154112
Table.ReadLatency.lucasdb.iot_data_tw	1511088089	50369602	mean	65.428448	0.226975	3.351023	5.260240	0.386104	0.436443	104.847122	0.277591	0.221846	105.685349
Table.ReadLatency.lucasdb.iot_data_tw	1511088119	50369603	mean	56.041446	15.138885	0.269376	23.958234	0.207935	0.239462	159.591029	0.265435	1.960016	124.033041
Table.ReadLatency.lucasdb.iot_data_tw	1511088149	50369604	mean	13.874597	12.791687	3.903061	22.160847	4.734859	8.472950	37.958105	5.688858	4.869450	8.752906
Table.ReadLatency.lucasdb.iot_data_tw	1511088179	50369605	mean	12.282822	4.094450	7.266261	4.006927	4.825658	8.641409	31.554977	6.150662	5.398536	7.905513
Table.ReadLatency.lucasdb.iot_data_tw	1511088209	50369606	mean	8.482069	8.284412	5.100686	13.061209	5.495908	4.231318	29.249736	9.159589	9.629904	4.994214
Table.ReadLatency.lucasdb.iot_data_tw	1511088239	50369607	mean	6.934502	7.379114	5.308728	15.037669	6.470523	4.638646	5.360310	6.858853	6.907613	5.884576
Table.ReadLatency.lucasdb.iot_data_tw	1511088269	50369608	mean	4.647444	7.403636	6.024901	16.557714	13.655099	24.525465	8.210444	7.848374	4.631404	7.629621
Table.ReadLatency.lucasdb.iot_data_tw	1511088299	50369609	mean	3.492415	8.028354	4.654659	11.955025	9.577270	20.339341	8.733961	9.632202	6.305998	5.729667
Table.ReadLatency.lucasdb.iot_data_tw	1511088329	50369610	mean	4.688257	8.698156	5.264193	11.447497	12.651544	5.028263	10.073001	9.466368	7.494521	7.291281
Table.ReadLatency.lucasdb.iot_data_tw	1511088359	50369611	mean	35.110422	9.064921	5.178910	10.209440	20.109940	5.237464	30.950147	7.376035	6.999757	8.689766
