metric;timestamp;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;min1
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200401;0,05795;0,064725;0,055144;0,071047;0,085208;0,003324;0,009954;0,091841;0,0516;0,046134;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200431;0,181906;0,191941;0,156428;0,188579;0,198921;0,093883;0,129801;0,211192;0,166065;0,14;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200461;0,288704;0,306184;0,29465;0,274501;0,335488;0,21522;0,245231;0,301592;0,264745;0,249177;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200491;0,398143;0,438306;0,439089;0,419305;0,470792;0,319773;0,400045;0,428008;0,386189;0,38769;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200521;0,519325;0,526362;0,577868;0,534576;0,558734;0,44045;0,561694;0,52974;0,524134;0,504994;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200551;0,641198;0,657622;0,688311;0,640668;0,682711;0,554919;0,681928;0,669724;0,641435;0,622832;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200581;0,789594;0,77809;0,799103;0,764815;0,816773;0,693146;0,832416;0,796358;0,751468;0,745524;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200611;0,898355;0,887754;0,895317;0,897469;0,929613;0,794812;0,955713;0,877587;0,848081;0,831459;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200641;1,001075;0,954907;1,008058;0,995955;1,070786;0,910855;1,05657;0,990692;0,938183;0,938466;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200671;1,074333;1,054665;1,111429;1,083609;1,160218;1,000069;1,16055;1,09248;1,032979;1,030994;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200701;1,182332;1,141441;1,198706;1,198843;1,303459;1,073288;1,222986;1,21738;1,146967;1,1449;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200731;1,286634;1,222913;1,318621;1,302687;1,405951;1,17054;1,368009;1,341238;1,215156;1,236352;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200761;1,355943;1,289052;1,393359;1,362473;1,494014;1,262071;1,459903;1,411946;1,291058;1,331182;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200791;1,454594;1,388563;1,502814;1,453307;1,576791;1,29598;1,545315;1,500975;1,356727;1,421957;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200821;1,533441;1,470627;1,583434;1,520597;1,642036;1,41177;1,632248;1,566412;1,437874;1,489039;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511200851;1,608655;1,521977;1,659303;1,597589;1,692108;1,478;1,705379;1,662355;1,487991;1,556144;
