metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131499	50371049	m15_rate	0.040783	0.027505	0.000000	0.008864	0.000000	0.000000	0.009942	0.005540	0.001108	0.008834
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131529	50371050	m15_rate	0.130346	0.120718	0.063722	0.082012	0.062828	0.064977	0.104838	0.086382	0.085366	0.084113
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131559	50371051	m15_rate	0.177369	0.216148	0.176459	0.187518	0.154779	0.153618	0.202961	0.223562	0.168397	0.176165
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131589	50371052	m15_rate	0.268738	0.301180	0.260131	0.270822	0.252482	0.232536	0.283840	0.304570	0.261035	0.281603
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131619	50371053	m15_rate	0.351651	0.358932	0.353103	0.349232	0.341594	0.348802	0.367048	0.407297	0.358340	0.361602
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131649	50371054	m15_rate	0.430828	0.438814	0.444451	0.425450	0.415430	0.423635	0.470882	0.490614	0.446288	0.443069
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131679	50371055	m15_rate	0.511580	0.528391	0.540128	0.533804	0.514170	0.493828	0.558215	0.554422	0.520565	0.585412
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131709	50371056	m15_rate	0.594353	0.607198	0.620530	0.595113	0.581269	0.591151	0.608903	0.631572	0.595264	0.640755
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131739	50371057	m15_rate	0.638336	0.661366	0.684311	0.653787	0.647640	0.662646	0.674959	0.689639	0.643556	0.711278
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131769	50371058	m15_rate	0.707986	0.753321	0.738374	0.713850	0.698248	0.704306	0.763722	0.753972	0.705482	0.768232
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131799	50371059	m15_rate	0.785155	0.820358	0.851701	0.776600	0.786368	0.794679	0.830303	0.838254	0.762680	0.853306
Table.ReadLatency.lucasdb.tw_ttl_1h_5min	1511131829	50371060	m15_rate	0.870953	0.876669	0.902484	0.858344	0.844893	0.848305	0.912732	0.927512	0.836230	0.920420
