metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477678	50315922	mean	0.133881	0.199235	0.122856	0.145330	0.159905	0.117671	0.159467	0.163489	0.214296	0.196453
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477708	50315923	mean	0.112863	0.116219	0.332223	0.120517	0.137941	0.155844	0.222062	0.122087	0.137055	0.169405
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477738	50315924	mean	0.124324	0.112899	0.299148	0.127910	0.134558	0.136827	0.203075	0.114618	0.125649	0.141659
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477768	50315925	mean	0.108071	0.112239	0.346460	0.122100	0.119727	0.131092	0.139038	0.120053	0.125575	0.137781
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477798	50315926	mean	0.103568	0.102025	0.327434	0.111213	0.108931	0.112380	0.128705	0.097812	0.152932	0.117159
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477828	50315927	mean	0.142428	0.172385	0.246536	0.105165	0.194678	0.104826	0.271513	0.094331	0.114057	0.142383
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477858	50315928	mean	0.206937	0.222264	0.462374	0.273036	0.260663	0.238517	0.298892	0.173801	0.173845	0.314439
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477888	50315929	mean	0.233750	0.256966	0.536203	0.298371	0.290690	0.282742	0.296533	0.238687	0.272297	0.313385
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477918	50315930	mean	0.236889	0.259011	0.586389	0.300297	0.334696	0.306170	0.305445	0.234720	0.290112	0.318340
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477948	50315931	mean	0.263522	0.270284	0.739419	0.321682	0.310343	0.334287	0.316791	0.200101	0.297739	0.305962
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509477978	50315932	mean	0.275973	0.297398	0.776799	0.340817	0.381098	0.308313	0.333957	0.193346	0.270009	0.283935
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509478008	50315933	mean	0.274644	0.312655	0.692748	0.277955	0.367517	0.338849	0.360189	0.200809	0.288179	0.311261
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509478038	50315934	mean	0.280959	0.311068	0.661068	0.305678	0.410585	0.363610	0.364608	0.238388	0.319136	0.338474
Table.ReadLatency.lucasdb.tw_ttl_2h_10min	1509478068	50315935	mean	0.281849	0.311531	0.726789	0.311321	0.380784	0.381213	0.375518	0.257425	0.336129	0.329088
