metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;total (média 10 nós)
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268306;50275610;mean;0,201885;0,212399;0,353647;0,210679;0,161453;0,157722;0,366819;0,141076;0,270027;0,139172;0,2214879
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268336;50275611;mean;0,225492;0,236359;0,387658;0,239374;0,182374;0,206614;0,407226;0,153911;0,298869;0,157665;0,2495542
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268366;50275612;mean;0,244985;0,256261;0,463742;0,26905;0,199665;0,196744;0,494807;0,194479;0,366772;0,172313;0,2858818
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268396;50275613;mean;0,272435;0,282796;0,483944;0,358523;0,211797;0,238743;0,517288;0,209134;0,429418;0,215793;0,3219871
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268426;50275614;mean;0,292389;0,29995;0,556277;0,357587;0,231055;0,235631;0,582937;0,24591;0,459864;0,266284;0,3527884
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268456;50275615;mean;0,31872;0,322323;0,613659;0,383319;0,223993;0,276092;0,691605;0,245888;0,531239;0,265588;0,3872426
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268486;50275616;mean;0,335627;0,341347;0,605303;0,420398;0,281551;0,263231;0,713932;0,258241;0,538006;0,283869;0,4041505
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268516;50275617;mean;0,35839;0,372516;0,617147;0,471262;0,292573;0,319785;0,721138;0,273138;0,539531;0,290479;0,4255959
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268546;50275618;mean;0,379063;0,393444;0,628347;0,471278;0,276294;0,312721;0,720374;0,261403;0,615811;0,298196;0,4356931
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268576;50275619;mean;0,397538;0,393463;0,705244;0,542751;0,336536;0,325622;0,812805;0,254456;0,617454;0,317715;0,4703584
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268606;50275620;mean;0,462422;0,411637;0,798722;0,54215;0,328757;0,339809;0,891285;0,309029;0,667614;0,366809;0,5118234
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268636;50275621;mean;0,480112;0,414975;0,80823;0,579035;0,354959;0,352919;0,918013;0,320952;0,696391;0,378828;0,5304414
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268666;50275622;mean;0,550601;0,427903;0,904429;0,633794;0,363979;0,339398;0,933857;0,336716;0,774235;0,39696;0,5661872
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268696;50275623;mean;0,52782;0,470732;0,875936;0,66174;0,335409;0,354444;1,023852;0,324392;0,763422;0,367676;0,5705423
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268726;50275624;mean;0,528634;0,495944;0,958003;0,662593;0,351052;0,391413;1,053313;0,355484;0,828709;0,373043;0,5998188
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268756;50275625;mean;0,549406;0,489492;0,91952;0,680117;0,422378;0,402704;1,055801;0,37166;0,850056;0,392617;0,6133751
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268786;50275626;mean;0,572017;0,504055;0,987057;0,724274;0,40988;0,388248;1,142472;0,409258;0,888723;0,431501;0,6457485
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268816;50275627;mean;0,567151;0,513867;1,089056;0,808865;0,391965;0,397731;1,156027;0,396449;0,919912;0,426703;0,6667726
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268846;50275628;mean;0,613919;0,535302;1,014896;0,803791;0,401213;0,41417;1,115421;0,409678;0,930031;0,432907;0,6671328
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268876;50275629;mean;0,66182;0,562313;1,004693;0,860508;0,414301;0,43434;1,177943;0,421406;0,9666;0,46614;0,6970064
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268906;50275630;mean;0,67591;0,575559;1,095101;0,829623;0,439594;0,491088;1,246938;0,461558;0,982433;0,443364;0,7241168
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268936;50275631;mean;0,661868;0,615866;1,157038;0,948437;0,435896;0,497226;1,296151;0,488953;1,000261;0,46599;0,7567686
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268966;50275632;mean;0,708042;0,64397;1,244509;0,924181;0,466245;0,47642;1,341145;0,51506;1,092879;0,515421;0,7927872
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508268996;50275633;mean;0,706818;0,643361;1,22673;0,934221;0,501264;0,460596;1,421329;0,504339;1,063906;0,561853;0,8024417
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269026;50275634;mean;0,7252;0,655971;1,190514;0,936393;0,507131;0,52843;1,438857;0,517969;1,188066;0,564681;0,8253212
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269056;50275635;mean;0,763217;0,673519;1,188326;1,016977;0,528763;0,537787;1,536304;0,510448;1,220473;0,54844;0,8524254
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269086;50275636;mean;0,806297;0,698775;1,310673;1,087856;0,541466;0,526699;1,542382;0,523759;1,270406;0,575895;0,8884208
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269116;50275637;mean;0,816808;0,69228;1,280663;1,146949;0,527218;0,532822;1,529768;0,550447;1,347101;0,611265;0,9035321
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269146;50275638;mean;0,837393;0,703282;1,335953;1,141218;0,528972;0,590701;1,59616;0,545311;1,332621;0,632731;0,9244342
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269176;50275639;mean;0,85798;0,718076;1,387154;1,183538;0,553942;0,586952;1,713648;0,561235;1,355415;0,677701;0,9595641
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269206;50275640;mean;0,866517;0,724835;1,444395;1,148778;0,641219;0,598241;1,743767;0,597369;1,411168;0,671276;0,9847565
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269236;50275641;mean;0,90603;0,767875;1,465973;1,170041;0,610149;0,675551;1,751183;0,626151;1,438263;0,667784;1,0079
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269266;50275642;mean;0,941048;0,808403;1,484156;1,285853;0,635434;0,631077;1,792567;0,652259;1,527531;0,720373;1,0478701
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269296;50275643;mean;0,96143;0,857259;1,521427;1,305404;0,615175;0,636596;1,889755;0,680093;1,577974;0,737216;1,0782329
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269326;50275644;mean;0,957216;0,876818;1,528621;1,296772;0,611412;0,656413;1,933554;0,663435;1,564367;0,756688;1,0845296
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269356;50275645;mean;0,958056;0,920286;1,623257;1,312951;0,670818;0,682969;1,987876;0,713282;1,645767;0,742912;1,1258174
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269386;50275646;mean;1,02273;0,921626;1,648915;1,370904;0,681135;0,737191;2,019788;0,734838;1,674031;0,759077;1,1570235
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269416;50275647;mean;1,028183;0,943842;1,703962;1,392976;0,670911;0,712952;2,010089;0,772134;1,700948;0,787964;1,1723961
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269446;50275648;mean;1,041745;0,969225;1,622137;1,443338;0,672273;0,779793;2,050555;0,784133;1,750177;0,793666;1,1907042
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269476;50275649;mean;1,072724;0,95921;1,593017;1,446429;0,683689;0,749523;2,130407;0,841842;1,765768;0,785658;1,2028267
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269506;50275650;mean;1,111078;0,993693;1,624904;1,458829;0,7339;0,734858;2,132474;0,819187;1,78614;0,752495;1,2147558
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269536;50275651;mean;1,126237;1,015324;1,730342;1,554365;0,739039;0,712746;2,158424;0,821987;1,840264;0,737065;1,2435793
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269566;50275652;mean;1,131488;1,015811;1,83902;1,521046;0,743226;0,702081;2,319544;0,829368;1,938645;0,792113;1,2832342
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269596;50275653;mean;1,140546;1,012277;1,987441;1,532289;0,754723;0,747568;2,307293;0,803947;1,912986;0,82449;1,302356
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269626;50275654;mean;1,1639;1,022504;2,072998;1,557866;0,796342;0,770011;2,414197;0,818187;1,949187;0,863702;1,3428894
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269656;50275655;mean;1,201171;1,014882;1,983814;1,648578;0,829053;0,781636;2,413306;0,837498;1,997904;0,859793;1,3567635
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269686;50275656;mean;1,229095;1,066141;2,030889;1,674501;0,831736;0,830232;2,431327;0,873814;1,984888;0,955556;1,3908179
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269716;50275657;mean;1,246726;1,110294;2,095196;1,627183;0,813036;0,804775;2,493658;0,883904;1,965264;0,908251;1,3948287
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269746;50275658;mean;1,256772;1,082782;1,908168;1,654489;0,871732;0,810592;2,528251;0,867999;2,062154;0,948878;1,3991817
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269776;50275659;mean;1,278736;1,088109;1,986554;1,725887;0,84268;0,802348;2,546261;0,880719;2,142515;0,952396;1,4246205
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269806;50275660;mean;1,300908;1,114936;1,978659;1,763761;0,881151;0,774807;2,642717;0,923121;2,236525;0,950753;1,4567338
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269836;50275661;mean;1,318868;1,109911;2,126583;1,792823;0,856458;0,802667;2,689485;0,961296;2,27471;0,919585;1,4852386
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269866;50275662;mean;1,301252;1,13225;2,197694;1,851954;0,850209;0,853784;2,78805;0,997804;2,233417;0,930232;1,5136646
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269896;50275663;mean;1,345223;1,153948;2,215341;1,800944;0,82643;0,879183;2,837061;1,055498;2,271916;0,954373;1,5339917
Table.ReadLatency.lucasdb.tw_ttl_2h_nocompact;1508269926;50275664;mean;1,359553;1,196997;2,260079;1,865658;0,879544;0,903488;2,932554;1,073935;2,289066;0,958794;1,5719668
