metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010449	50367014	count	0	0	0	0	0	0	0	0	0	0
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010479	50367015	count	39053323	39014129	0	39075629	0	0	39356862	39304107	0	39292653
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010509	50367016	count	106892840	106680315	39193179	39075629	39403280	39245633	107700973	39304107	39321597	39292653
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010539	50367017	count	145872354	106680315	107196062	106847927	107871880	107032094	107700973	107495387	107540617	107449270
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010569	50367018	count	145872354	145358381	146427865	145951027	146816129	146070082	146728711	146743761	146771517	146679267
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010599	50367019	count	213404451	212633642	146427865	213706485	214502261	213905417	214699989	214689707	146771517	214851901
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010629	50367020	count	251910723	251352724	214423556	213706485	214502261	213905417	253645743	214689707	214733448	244341717
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010659	50367021	count	386107568	385052593	253240290	213706485	253513729	252901819	437266824	253716843	214733448	379306041
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010689	50367022	count	424736523	423734889	387860917	386934187	437198401	387330357	476224333	427804341	417584168	418396784
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010719	50367023	count	491940668	490903452	426817222	425807890	476488694	426353263	543946332	427804341	417584168	486342144
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010749	50367024	count	530638949	490903452	494683006	493345405	544609793	494073139	543946332	495867853	485137066	486342144
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010779	50367025	count	597956430	529451611	533715861	532165719	583672796	532976087	582855015	534765082	524035800	525197470
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010809	50367026	count	636575135	596597266	601413431	599460545	651679038	532976087	650528790	602538632	591565790	592772674
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010839	50367027	count	636575135	634990186	640268757	599460545	690598272	600543750	689442289	641595013	630644160	631701841
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010869	50367028	count	703579128	701656262	707810502	638106372	690598272	639283316	756953585	709293201	630644160	699295422
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010899	50367029	count	742034451	740001845	707810502	705393705	757958559	706452481	795758865	709293201	698408347	699295422
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010929	50367030	count	808830149	740001845	746557910	744060935	796664682	745063645	863004897	748057798	737083102	738164911
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010959	50367031	count	1068978525	806721262	813779529	744060935	864034015	745063645	863004897	815375279	804299588	805631595
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511010989	50367032	count	1107403098	806721262	1076126849	811270197	1127348972	812193933	1163765976	815375279	804299588	1067936366
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511011019	50367033	count	1174045664	1105021885	1116047128	811270197	1167811233	1074025407	1231449399	1078233321	804299588	1067936366
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511011049	50367034	count	1212434069	1171812149	1184486832	1111283270	1236647629	1112670331	1231449399	1184327439	1104405591	1106693723
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511011079	50367035	count	1212434069	1171812149	1184486832	1178435864	1275433328	1179967613	1270152496	1223009735	1171616358	1173958449
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511011109	50367036	count	1279108890	1210267155	1223105236	1216968957	1275433328	1218516073	1337318651	1223009735	1210274542	1212637117
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511011139	50367037	count	1317546105	1276895843	1290131535	1284044082	1342760457	1218516073	1376235778	1290264813	1277396687	1279834307
