metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040089	50368002	count	0	0	0	0	0	0	0	0	0	0
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040119	50368003	count	39027072	0	0	0	0	0	0	0	0	0
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040149	50368004	count	39027072	39048776	39361060	39351412	39370708	39315545	39361963	39407779	39418631	39451488
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040179	50368005	count	107130015	107117658	39361060	107990903	39370708	39315545	107955939	39407779	108203111	108034612
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040209	50368006	count	146241242	146168003	107898368	107990903	108018342	107863404	147325808	107991806	108203111	108034612
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040239	50368007	count	214395182	213993389	147283303	147157008	147283319	147131074	215828216	147397542	147560908	147105758
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040269	50368008	count	253256227	213993389	215922858	215343219	215791763	215508074	215828216	216035592	216072948	215264530
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040299	50368009	count	253256227	252842980	255412083	254376993	254887623	215508074	255101320	255314431	255449138	254390237
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040329	50368010	count	320970384	320534831	255412083	254376993	322958977	254594286	323383678	323603126	255449138	254390237
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040359	50368011	count	359775664	359332570	323899108	322353103	322958977	322690053	362410212	323603126	323834883	322492040
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040389	50368012	count	427355684	359332570	362956392	361437826	362006011	361745531	430479158	362615180	362849044	361548658
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040419	50368013	count	427355684	426782667	431001226	429375962	430029743	429732794	701342228	430681100	362849044	429636535
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040449	50368014	count	735630857	694882368	431001226	429375962	430029743	429732794	740579465	430681100	430839000	429636535
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040479	50368015	count	803420978	733598725	701772389	699945859	739785921	700163187	740579465	740659701	701881188	700449627
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040509	50368016	count	842144892	801112128	740845943	738965169	807851255	739440457	808814502	808706341	740989706	739346523
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040539	50368017	count	842144892	839697675	808984516	806971728	846884126	807715527	847869362	847720819	809029407	807230367
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040569	50368018	count	909666454	907002498	848063203	845770687	846884126	846460226	916000394	847720819	848140935	846033239
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040599	50368019	count	948244159	907002498	916228914	913310927	915004924	913991420	954972066	915722245	916317783	913455010
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040629	50368020	count	1015419661	1080213863	954993210	913310927	953958203	952840409	1022763090	954651127	916317783	913455010
Table.CompactionBytesWritten.lucasdb.iot_data_dt	1511040659	50368021	count	1216916752	1128270113	1013052196	913310927	1021720283	952840409	1226105049	1012807781	916317783	1048754136
