metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050529	50368350	count	0	0	0	0	0	0	0	0	0	0
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050559	50368351	count	36503199	0	19203692	0	0	0	0	0	0	0
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050589	50368352	count	36503199	36525505	52738989	36672902	36744652	36771172	36772376	36663872	26100460	36781422
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050619	50368353	count	100075030	100286636	100528121	100804791	36744652	36771172	100836143	100630589	71618594	100988071
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050649	50368354	count	138668102	139894330	181631645	100804791	100825909	100979025	139632979	100630589	136509489	100988071
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050679	50368355	count	138668102	139894330	218292238	140708182	140925840	140917697	139632979	139423512	165672509	140954768
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050709	50368356	count	207464100	209727858	295739131	210937483	140925840	140917697	208888959	208731043	217342283	210856719
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050739	50368357	count	248164788	249491393	336715032	210937483	211417696	211159973	249856416	208731043	291853702	210856719
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050769	50368358	count	248164788	318141499	395090516	250621743	252454162	251692780	321227854	249848875	322072978	250127066
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050799	50368359	count	319202238	318141499	459360282	319437639	323938318	251692780	321227854	321425851	374821314	318607120
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050829	50368360	count	358098564	318141499	481851749	358686314	363575257	321391585	361297954	361890219	405083998	318607120
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050859	50368361	count	598353068	547598128	722598732	358686314	363575257	321391585	361297954	361890219	405083998	318607120
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050889	50368362	count	637320827	586501377	984359784	598902524	607350068	553178890	613553746	604810873	405083998	548341780
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050919	50368363	count	637320827	586501377	1022669500	638422214	646827855	592567152	652788860	644020386	405083998	587649832
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050949	50368364	count	705175458	654358115	1077597788	706906245	646827855	660986974	721111299	712296122	633392246	655878215
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511050979	50368365	count	744038943	693273119	1136908113	706906245	715437579	660986974	760328654	712296122	633392246	655878215
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051009	50368366	count	811900830	761074393	1212349509	746126277	754662760	700216068	760328654	751523711	747950220	695016881
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051039	50368367	count	850762794	799857066	1250211235	814411629	823075342	768555094	828712007	819883839	797692062	763030965
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051069	50368368	count	918723236	867303250	1325658952	853454734	862236029	807928274	867955280	859151826	896868294	802031248
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051099	50368369	count	957431165	867303250	1363390233	921384109	930618178	876233239	936420015	927697341	946492586	869918102
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051129	50368370	count	957431165	906048551	1621343666	921384109	969636284	876233239	975438723	966823650	1017263267	869918102
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051159	50368371	count	1024813758	973614107	1696411960	960363623	1037663343	915164212	1043444379	966823650	1045683900	908902131
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051189	50368372	count	1294127106	1242287120	1696411960	960363623	1037663343	983004062	1314693661	1034925754	1095083627	976917419
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051219	50368373	count	1332789520	1280991421	1786963628	1028230912	1348701793	1253693930	1354562104	1347878127	1095083627	1246925686
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051249	50368374	count	1400360811	1348437304	1808391282	1337646545	1348701793	1295045722	1423294812	1347878127	1398434337	1285858148
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051279	50368375	count	1439039495	1387124115	1899238250	1405576775	1417043544	1365318146	1462213745	1418038118	1517841525	1353855629
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051309	50368376	count	1506405200	1387124115	1957941196	1405576775	1455934436	1404235859	1530152784	1457010392	1546038195	1392724516
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051339	50368377	count	1545131205	1454485590	1979307414	1444652135	1523845735	1404235859	1569124171	1524991619	1595213959	1460413056
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051369	50368378	count	1612710623	1492940913	2265247521	1512446771	1562736025	1472028689	1637138271	1564091107	1665268440	1460413056
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051399	50368379	count	1651230456	1559870447	2286586300	1551155302	1630613865	1510817398	1637138271	1564091107	1693435279	1499202969
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051429	50368380	count	1651230456	1559870447	2377166595	1618527946	1669469191	1578336536	1676012291	1632277920	1742580911	1566890305
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051459	50368381	count	1651230456	1559870447	2377166595	1618527946	1669469191	1578336536	1676012291	1632277920	1812504883	1566890305
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051489	50368382	count	1651230456	2037885793	2377166595	1618527946	1669469191	1578336536	1676012291	1632277920	1812504883	1566890305
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051519	50368383	count	2188290281	2076279315	2398292532	2090568060	1669469191	1578336536	2225800882	2127796099	2221719133	2038509426
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051549	50368384	count	2255733135	2143387515	2933549372	2129806818	2218716149	2102092375	2225800882	2166549844	2249827783	2077188126
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051579	50368385	count	2255733135	2143387515	3007307600	2198001960	2286177662	2169633166	2293346300	2234201976	2298692467	2144848521
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051609	50368386	count	2294063066	2181656548	3044180702	2237044764	2324860560	2169633166	2331970138	2272917145	2396622927	2183395476
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051639	50368387	count	2360989891	2248511021	3117914248	2304750778	2324860560	2208396226	2399313252	2340373896	2919185337	2183395476
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051669	50368388	count	2399394281	2286710427	3207375330	2304750778	2392252484	2276000944	2437993758	2340373896	2988531729	2250550177
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051699	50368389	count	2466183959	2353327677	3228501901	2343265478	2431107208	2314436385	2505371836	2379021244	3065257004	2289053391
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051729	50368390	count	2504279978	2391456854	3317910529	2410265241	2498659504	2381424409	2543910363	2446499097	3134647438	2356141744
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051759	50368391	count	2570816749	2457892646	3585241826	2448766079	2537107904	2419809202	2611045182	2485051185	3162599344	2394669403
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051789	50368392	count	2837012282	2723353234	3704983921	2515730276	2604152897	2486824950	2879919417	2552155254	3211251519	2394669403
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051819	50368393	count	2875272285	2723353234	3704983921	2515730276	2604152897	2486824950	2918419051	2552155254	3211251519	2461749043
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051849	50368394	count	2941972438	2761665976	3725902514	2823028998	2910835972	2755166957	2985492671	2860126345	3495299471	2729228729
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051879	50368395	count	2980176074	2828419771	3814594055	2890034496	2978021740	2793688295	3023945887	2928510585	3543703872	2767799796
Table.CompactionBytesWritten.lucasdb.iot_data_tw	1511051909	50368396	count	3046742692	2866575769	3903165020	2890034496	3016520170	2860873445	3090884166	2966986408	3640348991	2835034374
