metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
cpu.percent	1512573644	50419121	15	9	37	46	17	24	11	17	4	NULL
cpu.percent	1512573674	50419122	17	12	77	24	33	29	68	25	29	NULL
cpu.percent	1512573704	50419123	13	9	100	29	100	64	33	30	25	NULL
cpu.percent	1512573734	50419124	11	15	22	27	32	33	25	37	29	NULL
cpu.percent	1512573764	50419125	40	6	100	92	32	13	100	11	20	NULL
cpu.percent	1512573794	50419126	19	13	63	27	100	86	31	27	61	NULL
cpu.percent	1512573824	50419127	21	23	42	29	34	32	43	37	100	NULL
cpu.percent	1512573854	50419128	59	62	100	100	100	100	100	100	100	NULL
cpu.percent	1512573884	50419129	16	29	46	37	100	100	35	100	31	NULL
cpu.percent	1512573914	50419130	17	18	49	32	69	30	33	32	28	NULL
cpu.percent	1512573944	50419131	16	12	35	28	39	100	36	100	90	NULL
cpu.percent	1512573974	50419132	53	18	37	20	34	31	100	100	46	NULL
cpu.percent	1512574004	50419133	63	44	100	31	30	38	100	34	32	NULL
cpu.percent	1512574034	50419134	82	63	100	100	100	38	100	32	100	NULL
cpu.percent	1512574064	50419135	37	15	100	97	100	100	100	100	100	NULL
cpu.percent	1512574094	50419136	21	71	100	36	100	24	63	30	30	NULL
cpu.percent	1512574124	50419137	40	14	52	19	52	30	77	100	30	NULL
cpu.percent	1512574154	50419138	19	61	50	100	97	34	47	63	28	NULL
cpu.percent	1512574184	50419139	14	13	49	34	43	43	100	28	34	NULL
cpu.percent	1512574214	50419140	64	62	100	100	100	35	100	100	100	NULL
cpu.percent	1512574244	50419141	17	12	100	36	78	100	100	21	32	NULL
cpu.percent	1512574274	50419142	16	12	100	30	100	33	100	30	69	NULL
cpu.percent	1512574304	50419143	14	13	55	100	35	100	24	39	24	NULL
cpu.percent	1512574334	50419144	15	32	49	28	33	33	40	30	100	NULL
cpu.percent	1512574364	50419145	42	13	35	100	38	29	93	69	100	NULL
cpu.percent	1512574394	50419146	67	61	100	100	100	100	100	30	100	NULL
cpu.percent	1512574424	50419147	18	9	36	30	30	30	100	100	24	NULL
cpu.percent	1512574454	50419148	35	100	52	72	32	26	58	100	29	NULL
cpu.percent	1512574484	50419149	22	33	71	100	30	33	83	100	66	NULL
cpu.percent	1512574514	50419150	16	19	38	33	6	55	56	29	30	NULL
cpu.percent	1512574544	50419151	61	21	100	32	34	100	100	49	25	NULL
cpu.percent	1512574574	50419152	62	62	100	100	100	100	100	37	100	NULL
cpu.percent	1512574604	50419153	61	11	89	32	42	100	27	100	35	NULL
cpu.percent	1512574634	50419154	62	20	56	25	100	40	34	37	29	NULL
cpu.percent	1512574664	50419155	42	12	47	72	100	31	100	100	36	NULL
cpu.percent	1512574694	50419156	23	45	54	27	35	33	45	31	36	NULL
cpu.percent	1512574724	50419157	17	18	16	100	58	30	87	35	100	NULL
cpu.percent	1512574754	50419158	62	61	100	100	100	100	100	32	100	NULL
cpu.percent	1512574784	50419159	39	7	47	35	93	100	16	100	100	NULL
cpu.percent	1512574814	50419160	38	13	71	30	100	100	30	88	36	NULL
cpu.percent	1512574844	50419161	17	18	48	100	38	29	35	100	100	NULL
cpu.percent	1512574874	50419162	14	26	95	26	35	37	26	30	29	NULL
cpu.percent	1512574904	50419163	65	13	100	37	100	10	30	30	32	NULL
cpu.percent	1512574934	50419164	63	63	100	100	100	NULL	100	100	100	NULL
cpu.percent	1512574964	50419165	15	30	92	34	34	33	32	100	32	NULL
cpu.percent	1512574994	50419166	57	7	55	30	34	100	30	26	38	NULL
cpu.percent	1512575024	50419167	22	13	64	27	35	37	36	100	40	NULL
cpu.percent	1512575054	50419168	16	45	62	100	35	35	37	100	100	NULL
cpu.percent	1512575084	50419169	14	58	100	100	100	33	49	51	46	NULL
cpu.percent	1512575114	50419170	62	59	100	100	100	100	100	100	100	NULL
cpu.percent	1512575144	50419171	43	12	100	31	100	61	58	100	100	NULL
cpu.percent	1512575174	50419172	43	12	64	39	91	100	85	36	28	NULL
cpu.percent	1512575204	50419173	12	62	73	28	33	36	20	100	51	NULL
