metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040089;50368002;count;19637601;19638550;0;9903677;0;0;9914245;0;9926338;0;69020411
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040119;50368003;count;39128420;39236113;19786914;29661417;19790571;19785747;29665955;29668659;29692216;29731199;286147211
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040149;50368004;count;68558552;58751725;49342312;49333578;49342556;39417602;59204389;49393390;49418145;49437419;522199668
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040179;50368005;count;97666051;87874343;69111509;68804680;69082213;69048326;78624495;69143580;68949994;68748173;747053364
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040209;50368006;count;127068872;117124624;98387989;98310370;98405913;88484687;108231803;108276766;98566588;98150546;1041008158
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040239;50368007;count;146393857;136239525;127932618;127686106;127919580;117907147;147305678;127986849;128150253;127525146;1315046759
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040269;50368008;count;175563999;165503256;147591682;156765042;157169766;147076893;167064927;157298500;147508963;146936365;1568479393
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040299;50368009;count;204738231;194630077;177108543;176299639;186483762;176514528;206196432;186729111;177115322;176307417;1862123062
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040329;50368010;count;233710985;223555340;206515125;205707717;215530054;205861202;225489635;215822956;206658779;205721239;2144573032
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040359;50368011;count;262831171;252722754;235582709;234773057;244940327;225134097;254818623;245224101;235607357;234813232;2426447428
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt;1511040389;50368012;count;291712890;272178686;264929611;264116548;274306777;254497215;283945209;274547937;255115858;254317304;2689668035
