metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387763	50379592	count	9556486	21453114	19255738	28699580	23711201	28679069	9636273	9632958	19808961	9615127
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387793	50379593	count	38145471	42931606	48093571	57227684	47423714	57296334	38473823	38495795	39534055	38385847
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387823	50379594	count	66727661	64144265	67300806	76377685	70938606	75940516	57634614	57677853	65776903	57469748
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387853	50379595	count	85443112	90932327	95820857	104910963	100523207	104603334	85922466	85990735	91693582	85760712
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387883	50379596	count	113961999	117253134	124495847	133537974	123933057	133133330	114568229	114574857	117622452	114276605
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387913	50379597	count	142239921	143772871	152735333	161777997	153485947	161507806	142871429	142797803	143572153	133024359
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387943	50379598	count	170627845	170285275	181311028	190282974	182956913	180590957	171508934	171470125	169668483	161604759
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511387973	50379599	count	198989538	196733807	209850414	209084307	206576081	208847279	200200486	200010814	189225393	190058397
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511388003	50379600	count	227071902	221336907	238477684	228203541	236038298	227932113	228552857	228314402	215262826	218385506
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511388033	50379601	count	245996009	231886833	238477684	245093070	247849568	245302334	247635639	247403749	228323897	227918214
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511388063	50379602	count	262666503	257926617	274366771	273451860	275333137	273707157	264372538	263958017	252937627	245358654
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511388093	50379603	count	290774763	284371564	293097267	301650678	334058070	292515294	292976872	282949141	279016182	273937524
Table.TotalDiskSpaceUsed.lucasdb.iot_data_tw	1511388123	50379604	count	319137681	310818972	321743086	329922193	333299460	320813652	321359981	311352824	304943480	302249764
