metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121359	50370711	count	0	0	0	0	0	0	0	0	0	0
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121389	50370712	count	27818722	18570382	0	9388789	9398788	0	18751704	9388512	9391835	9380348
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121419	50370713	count	46281169	46301607	28174098	37430314	28105572	28088592	37394572	37480808	28128156	37431541
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121449	50370714	count	64569856	64846739	46726463	56073672	56010805	46732178	65240722	56079061	56130049	55991148
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121479	50370715	count	92390105	92320822	65136415	74427631	74299257	65413002	83638101	74492367	74547642	74392115
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121509	50370716	count	120061674	120079223	93221184	102290886	102116833	93043018	120702380	102387929	102406752	102355364
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121539	50370717	count	156883404	138259161	121116518	130225605	129943067	121085101	148165229	139497878	120908830	130367665
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121569	50370718	count	184546977	165998683	148561541	157705339	157604875	148978525	175915925	167036374	148504441	158090711
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121599	50370719	count	212157025	193301302	185628847	185534708	185425354	176921001	203370293	194872902	185576984	185996258
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121629	50370720	count	230676226	219403766	213213265	213091576	222323145	204616116	231214902	222536230	213085528	213570320
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121659	50370721	count	247183923	237813786	222487679	222374695	240861387	223157427	240482981	231809411	222361412	221686126
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121689	50370722	count	274768747	265384594	248592466	257623795	258183369	249476745	275144037	266628347	248381433	249573844
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121719	50370723	count	302374476	283524131	266566786	275770450	276271453	268029173	302634583	284904770	266944405	267879966
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121749	50370724	count	339144746	311234098	303698413	303633060	313252752	295503761	330314057	312745152	294542709	295786946
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121779	50370725	count	366485796	338544171	331455584	331452372	340796021	323357894	357702871	340579021	322348146	323324430
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121809	50370726	count	394044806	366104624	359425469	368291998	377442276	351015419	394589670	377328459	349821683	351173907
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121839	50370727	count	430668175	393419786	387169394	396030454	405026674	388077826	422006641	404976537	377489078	379007503
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121869	50370728	count	458202977	430104305	423673203	423346543	432420004	415609281	458822976	432369067	404923277	406516284
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121899	50370729	count	485671412	457542715	451315752	450995790	460010457	443384219	486174633	469194321	432618456	434194757
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121929	50370730	count	485671412	466428065	469427092	469362614	487365172	461532163	495391925	487385602	460270065	461527857
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121959	50370731	count	511048197	473564349	478654667	469362614	496567083	470808367	512132626	493848433	460044295	461527857
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511121989	50370732	count	530610163	504240168	496557146	497404301	514716178	488159237	532735583	524571032	490936720	489607978
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122019	50370733	count	559681557	524364879	527410955	528097267	545595667	508643818	573565711	544950115	508552365	509976394
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122049	50370734	count	588982137	554999869	557922116	548275149	575184987	539091973	603080034	575841855	539106407	540528733
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122079	50370735	count	618049973	585536092	578411197	579067445	594771655	569977468	622459146	596315413	559690720	561106921
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122109	50370736	count	647395854	615713202	609036573	599622788	623992370	600748203	652009352	625870393	589179815	591982811
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122139	50370737	count	676359912	636000414	638978717	629656081	663253988	620954239	691157907	655337575	618338190	622526263
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122169	50370738	count	715470109	665843376	668426696	659123713	692501340	651636335	720636802	684607273	647923717	642932843
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122199	50370739	count	744825538	695107966	697643220	688250166	721921924	682134819	749998192	714090690	667343480	672602182
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122229	50370740	count	764097053	724302592	727116024	717720262	751414091	712987758	779239243	743612442	696874568	702118588
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122259	50370741	count	790880980	743615031	756189386	746990305	780548206	742440151	806225401	772852913	726437340	731649118
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122289	50370742	count	800577245	760842424	766021315	756824647	800245314	761805564	815737639	782685435	735877208	741161325
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122319	50370743	count	839094840	790070327	783494553	774228016	807308622	771654070	845302165	811219346	765417077	758310495
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122349	50370744	count	868213575	809366809	812727311	803755087	846550436	798567630	874504476	840445062	782196167	787783081
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122379	50370745	count	897163658	838615162	852098218	832970308	875853890	827853477	913293769	869972474	811315915	817171877
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122409	50370746	count	926278406	867540529	871527437	862492126	905004676	857270540	942672166	899216993	840714655	846625151
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122439	50370747	count	955097827	896812988	910775633	891611097	934297551	886461987	971758593	928538134	870121932	875808890
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122469	50370748	count	984222055	925913116	940123195	920791703	963411931	915985232	1010709658	957443228	899104496	905303523
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122499	50370749	count	1013110371	954747741	969080740	949816401	992727937	945349351	1039750610	986725716	928391195	934690204
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122529	50370750	count	1042166121	983802847	998444463	979168666	1021769411	974477926	1056422553	1016099790	957483638	963671723
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122559	50370751	count	1058280345	1003254526	1017563276	998649349	1051117645	993948720	1085750589	1045187557	977037779	983255856
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122589	50370752	count	1077705834	1022435402	1170998128	1017891771	1067567014	1013222386	1105037006	1055796389	996636813	1002864499
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122619	50370753	count	1106668412	1039027559	1063436633	1037451927	1086835295	1032783792	1134263569	1082229529	1015880682	1012186901
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122649	50370754	count	1135471204	1067805735	1082714583	1063704185	1116016837	1059063364	1153346818	1101386239	1035490233	1048123110
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122679	50370755	count	1164089465	1096899273	1112068861	1092664033	1145169660	1088398111	1182557060	1130796018	1061211463	1067247001
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122709	50370756	count	1193085462	1125983510	1141378691	1121948643	1174129505	1117431637	1211687569	1159816555	1090125433	1096595000
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122739	50370757	count	1221816281	1154778377	1170410447	1151171228	1212946178	1146788837	1240396808	1188987542	1119333887	1125872079
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122769	50370758	count	1250687236	1183752108	1199518318	1179902843	1241725940	1175739557	1279185822	1218124098	1148170438	1154925167
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122799	50370759	count	1269603918	1212252670	1228265316	1199356746	1270886730	1204977986	1308069982	1246913638	1177343418	1184143896
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122829	50370760	count	1298553251	1231517029	1247743722	1228149623	1290054910	1224142446	1324941856	1276115105	1196706601	1203622408
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122859	50370761	count	1325564364	1250747922	1276899878	1247589563	1319200722	1243594981	1373506543	1295286928	1215795601	1222743449
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122890	50370763	count	1335134317	1288808111	1302454669	1285916754	1355378967	1282407352	1461297664	1331312327	1254656365	1261541724
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122919	50370763	count	1353974684	1288808111	1302454669	1285916754	1355378967	1282407352	1461297664	1331312327	1254656365	1261541724
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122950	50370765	count	1373236618	1305433490	1341397243	1312763380	1384130883	1308394301	1422165514	1361726645	1283598796	1280680760
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511122979	50370765	count	1382709650	1305433490	1341397243	1312763380	1384130883	1308394301	1422165514	1361726645	1283598796	1280680760
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123009	50370766	count	1392310946	1315116805	1418916360	1341784530	1403430762	1318109263	1422165514	1409867174	1293271086	1287521580
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123039	50370767	count	1401890845	1334436238	1360543595	1332064848	1403430762	1327842863	1490176653	1380892149	1299903735	1307068399
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123069	50370768	count	1459281009	1392129846	1370236374	1341737755	1422811025	1347326419	1450892737	1429238130	1338628320	1326466448
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123099	50370769	count	1468869927	1411322439	1409033332	1399683512	1480753531	1405506300	1499301290	1409827999	1319652120	1336221189
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123129	50370770	count	1440161451	1372708684	1428376485	1419062718	1500375441	1424940435	1489673347	1429224065	1339036200	1346015527
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123159	50370771	count	1487989416	1411065193	1408914834	1380236140	1500530393	1386028291	1499369431	1438665445	1348733396	1414440462
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123189	50370772	count	1468711737	1391820920	1428256197	1428575423	1471211375	1424761270	1576841984	1458077892	1368052108	1375351492
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123219	50370773	count	1545156885	1459068683	1437905326	1409212173	1548665049	1414975817	1528335508	1467756214	1377719599	1394774863
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123249	50370774	count	1497272457	1420729616	1447563479	1477051954	1558331032	1414975817	1566851115	1487008970	1387470980	1394603765
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123279	50370775	count	1525870560	1430324570	1466831082	1438407731	1519434518	1434209888	1557048325	1487005386	1397179771	1404535513
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123309	50370776	count	1525831658	1449507509	1476493155	1448104399	1548282362	1453572683	1614772294	1574049319	1406858074	1414339644
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123339	50370777	count	1535371599	1468777751	1486286454	1467316766	1548262958	1472995770	1585925309	1516124170	1426257316	1433727578
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123369	50370778	count	1583612947	1468757629	1505533685	1486548995	1606009023	1492352139	1595559478	1564287130	1445523884	1443274691
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123399	50370779	count	2524518175	1545543148	1524865641	1553952292	1577004385	1482662989	2579298268	1544840431	1455510558	1462596828
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123429	50370780	count	1525494870	1497404804	1534409333	1563632924	1586653600	1569614762	2598562828	1564077144	1465105591	1472211704
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123459	50370781	count	1535001139	1506948974	1544012204	1515449338	1605871986	1511474393	1550955150	1573420030	1484335386	1481845149
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123489	50370782	count	1582163456	1525861941	1553641270	1553674260	1615476948	1559516773	1560551370	1583064423	1494090716	1501297314
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123519	50370783	count	1523445073	1429972452	1572915674	1544023138	1625082220	1540112015	1579302081	1602321949	1503886017	1501297314
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123549	50370784	count	1542437015	1449532874	1582544699	1601433635	1644285229	1559314106	1588855655	1611925096	1513516862	1520462421
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123579	50370785	count	1551825787	1459065584	1601999452	1563133985	1922990617	1568834207	1598241735	1621521341	1523042671	1530078249
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123609	50370786	count	1561336330	1459065584	1611598695	1572734445	2643323291	1578439773	1617380142	1640772642	1542212347	1539867881
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123639	50370787	count	1570886369	1477413881	1529365609	1582349961	1585861485	1597697530	1626863716	1549808788	1551920195	1549506725
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123669	50370788	count	1599285138	1496559928	1616073434	2566958407	1595577937	1607301588	1645966912	1568127710	1561609136	2535155238
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123699	50370789	count	1618185048	1524967412	1556416567	1513257864	1624093530	2597347309	1664974995	1587202329	1524061517	1480178339
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123729	50370790	count	1636714810	1543843631	1584913901	1542371186	1643013070	1539580413	1684040810	1606264569	1504255537	1780099060
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123759	50370791	count	1665238732	1562452144	1603696643	1570971246	1671646405	1558623390	1722227074	1634545826	1532779720	1536837840
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_120min	1511123789	50370792	count	1693381865	1590809619	1632195542	1589678555	1700254772	1586986197	1741255292	1663252887	1551833876	1555955402
