metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;1minuto
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200401;50373346;count;9551722;9603677;0;9739963;9414506;0;0;9305104;0;0;47614972
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200431;50373347;count;38130920;28784498;28475747;38873336;37531664;18583438;18695843;37154786;28208611;28246436;302685279
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200461;50373348;count;57104456;57471222;47295173;67693808;65414627;37146400;46663347;55630214;56317606;56255318;546992171
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200491;50373349;count;85706114;86049672;75739244;96535464;93310694;64959776;74642809;93706895;84507743;84180788;839339199
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200521;50373350;count;114020968;105062615;104165894;115664425;120922187;95721072;102622926;114119325;103099697;102667306;1078066415
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200551;50373351;count;142609387;133459497;132420407;144576673;148750095;115675036;130443064;144370765;131252081;130574923;1354131928
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200581;50373352;count;171009607;161886032;160612189;173453040;176486500;145176592;167768380;173739692;168689239;158334516;1657155787
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200611;50373353;count;208966569;190385911;189011754;202310416;213725020;174617269;195627469;203265310;187534647;186275696;1951720061
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200641;50373354;count;237093719;218754805;217449305;231061766;241825187;204064486;223460959;232682163;215674498;214038414;2236105302
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200671;50373355;count;265378653;247270385;245657778;259963269;269709282;233407774;251088322;262193049;243735296;241923105;2520326913
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511200701;50373356;count;293542383;275603722;274016220;288650560;297438529;262891224;288076436;291683341;271562393;269716130;2813180938
