metric_join;timestamp;ts_join;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;1min
iostat.sda.read_byte_per_second;1511200396;50373346;6414,98;NULL;NULL;3686,362;NULL;2593,887;NULL;2594,011;NULL;NULL;
iostat.sda.read_byte_per_second;1511200426;50373347;7642,625;NULL;NULL;0;NULL;0;NULL;7643,138;NULL;NULL;
iostat.sda.read_byte_per_second;1511200456;50373348;0;NULL;NULL;819,2;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200486;50373349;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200516;50373350;136,547;NULL;NULL;409,592;NULL;4642,133;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200546;50373351;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200576;50373352;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200606;50373353;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200636;50373354;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200666;50373355;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200696;50373356;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200726;50373357;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200756;50373358;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200786;50373359;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200816;50373360;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200846;50373361;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200876;50373362;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200906;50373363;0;NULL;NULL;0;NULL;5872,255;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200936;50373364;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200966;50373365;0;NULL;NULL;8602,395;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511200996;50373366;6280,028;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201026;50373367;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201056;50373368;0;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201086;50373369;0;NULL;NULL;0;NULL;0;NULL;16587,895;NULL;NULL;
iostat.sda.read_byte_per_second;1511201116;50373370;4233,016;NULL;NULL;3959,692;NULL;46893,371;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201146;50373371;0;NULL;NULL;0;NULL;10239,726;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201176;50373372;61792,036;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201206;50373373;18578,493;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201236;50373374;8730,517;NULL;NULL;0;NULL;0;NULL;0;NULL;NULL;
iostat.sda.read_byte_per_second;1511201266;50373375;26225,476;NULL;NULL;12556,365;NULL;8739,978;NULL;8738,232;NULL;NULL;
iostat.sda.read_byte_per_second;1511201296;50373376;41215,622;NULL;NULL;21847,883;NULL;0;NULL;4369,166;NULL;NULL;
iostat.sda.read_byte_per_second;1511201326;50373377;21715,251;NULL;NULL;13106,615;NULL;7645,116;NULL;21160,575;NULL;NULL;
iostat.sda.read_byte_per_second;1511201356;50373378;43404,752;NULL;NULL;236349,788;NULL;13107,093;NULL;32660,273;NULL;NULL;
iostat.sda.read_byte_per_second;1511201386;50373379;23223,129;NULL;NULL;56593,472;NULL;24022,3;NULL;45160,153;NULL;NULL;
iostat.sda.read_byte_per_second;1511201416;50373380;45861,682;NULL;NULL;30579,496;NULL;57070,973;NULL;41642,768;NULL;NULL;
iostat.sda.read_byte_per_second;1511201446;50373381;37415,847;NULL;NULL;52429,104;NULL;48059,74;NULL;64854,364;NULL;NULL;
iostat.sda.read_byte_per_second;1511201476;50373382;61137,041;NULL;NULL;45605,598;NULL;64321,291;NULL;41502,671;NULL;NULL;
iostat.sda.read_byte_per_second;1511201506;50373383;31281,487;NULL;NULL;50243,649;NULL;24039,718;NULL;30586,703;NULL;NULL;
iostat.sda.read_byte_per_second;1511201536;50373384;69459,015;NULL;NULL;48062,255;NULL;17474,067;NULL;34812,32;NULL;NULL;
iostat.sda.read_byte_per_second;1511201566;50373385;68011,199;NULL;NULL;46008,534;NULL;51583,585;NULL;93252,263;NULL;NULL;
iostat.sda.read_byte_per_second;1511201596;50373386;89152,917;NULL;NULL;46011,036;NULL;71133,962;NULL;71816,488;NULL;NULL;
iostat.sda.read_byte_per_second;1511201626;50373387;48055,242;NULL;NULL;43694,37;NULL;58163,078;NULL;68947,485;NULL;NULL;
iostat.sda.read_byte_per_second;1511201656;50373388;38638,938;NULL;NULL;64727,299;NULL;26214,297;NULL;42460,102;NULL;NULL;
iostat.sda.read_byte_per_second;1511201686;50373389;60928,108;NULL;NULL;55146,465;NULL;77141,739;NULL;73726,518;NULL;NULL;
iostat.sda.read_byte_per_second;1511201716;50373390;96470,423;NULL;NULL;51613,411;NULL;51746,151;NULL;58996,304;NULL;NULL;
iostat.sda.read_byte_per_second;1511201746;50373391;126167,562;NULL;NULL;86835,495;NULL;115916,828;NULL;91735,432;NULL;NULL;
iostat.sda.read_byte_per_second;1511201776;50373392;65576,955;NULL;NULL;82324,252;NULL;89292,758;NULL;53521,953;NULL;NULL;
iostat.sda.read_byte_per_second;1511201806;50373393;95782,766;NULL;NULL;77425,144;NULL;54103,343;NULL;115366,599;NULL;NULL;
iostat.sda.read_byte_per_second;1511201836;50373394;91557,141;NULL;NULL;98174,021;NULL;47380,18;NULL;125341,999;NULL;NULL;
iostat.sda.read_byte_per_second;1511201866;50373395;162475,489;NULL;NULL;47367,292;NULL;96368,252;NULL;91886,943;NULL;NULL;
iostat.sda.read_byte_per_second;1511201896;50373396;114129,191;NULL;NULL;83017,441;NULL;72464,304;NULL;99939,572;NULL;NULL;
iostat.sda.read_byte_per_second;1511201926;50373397;116192,449;NULL;NULL;77141,249;NULL;100488,55;NULL;86302,518;NULL;NULL;
iostat.sda.read_byte_per_second;1511201956;50373398;42600,661;NULL;NULL;33590,746;NULL;60897,908;NULL;100202,688;NULL;NULL;
iostat.sda.read_byte_per_second;1511201986;50373399;133666,142;NULL;NULL;120536,598;NULL;76861,698;NULL;133120,014;NULL;NULL;
iostat.sda.read_byte_per_second;1511202016;50373400;80134,841;NULL;NULL;73324,171;NULL;104872,999;NULL;70314,636;NULL;NULL;
iostat.sda.read_byte_per_second;1511202046;50373401;127305,756;NULL;NULL;110717,078;NULL;117963,053;NULL;122891,507;NULL;NULL;
iostat.sda.read_byte_per_second;1511202076;50373402;151418,6;NULL;NULL;89029,049;NULL;71940,671;NULL;124305,028;NULL;NULL;
iostat.sda.read_byte_per_second;1511202106;50373403;72209,419;NULL;NULL;101174,518;NULL;127607,209;NULL;105069,426;NULL;NULL;
iostat.sda.read_byte_per_second;1511202136;50373404;139103,717;NULL;NULL;121644,453;NULL;149003,896;NULL;99799,595;NULL;NULL;
iostat.sda.read_byte_per_second;1511202166;50373405;72774,804;NULL;NULL;60075,976;NULL;125194,494;NULL;144071,827;NULL;NULL;
iostat.sda.read_byte_per_second;1511202196;50373406;169585,333;NULL;NULL;107322,183;NULL;104586,771;NULL;164081,503;NULL;NULL;
