metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.read_byte_per_second	1511207266	50373575	3274.449	NULL	NULL	955.930	NULL	1910.839	NULL	409.629	NULL	NULL
iostat.sda.read_byte_per_second	1511207296	50373576	136.567	NULL	NULL	272.960	NULL	136.552	NULL	273.082	NULL	NULL
iostat.sda.read_byte_per_second	1511207326	50373577	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207356	50373578	0.000	NULL	NULL	0.000	NULL	2731.396	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207386	50373579	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207416	50373580	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207446	50373581	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207476	50373582	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207506	50373583	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207536	50373584	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207566	50373585	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207596	50373586	0.000	NULL	NULL	0.000	NULL	5187.995	NULL	136.652	NULL	NULL
iostat.sda.read_byte_per_second	1511207626	50373587	546.188	NULL	NULL	136.646	NULL	57754.299	NULL	136.484	NULL	NULL
iostat.sda.read_byte_per_second	1511207656	50373588	3689.018	NULL	NULL	3546.955	NULL	30446.939	NULL	5732.102	NULL	NULL
iostat.sda.read_byte_per_second	1511207686	50373589	0.000	NULL	NULL	136.533	NULL	2457.572	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207716	50373590	15711.585	NULL	NULL	5461.336	NULL	1911.487	NULL	6963.054	NULL	NULL
iostat.sda.read_byte_per_second	1511207746	50373591	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207776	50373592	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207806	50373593	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207836	50373594	136.534	NULL	NULL	136.538	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207866	50373595	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207896	50373596	0.000	NULL	NULL	0.000	NULL	0.000	NULL	409.600	NULL	NULL
iostat.sda.read_byte_per_second	1511207926	50373597	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207956	50373598	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511207986	50373599	409.926	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511208016	50373600	0.000	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511208046	50373601	85202.497	NULL	NULL	0.000	NULL	0.000	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511208076	50373602	690053.209	NULL	NULL	782148.160	NULL	550625.083	NULL	494858.235	NULL	NULL
iostat.sda.read_byte_per_second	1511208106	50373603	753118.345	NULL	NULL	736052.060	NULL	480781.303	NULL	489325.434	NULL	NULL
iostat.sda.read_byte_per_second	1511208136	50373604	1013524.578	NULL	NULL	1021500.786	NULL	834440.087	NULL	1034485.683	NULL	NULL
iostat.sda.read_byte_per_second	1511208166	50373605	1107391.682	NULL	NULL	738425.459	NULL	704375.534	NULL	735861.918	NULL	NULL
iostat.sda.read_byte_per_second	1511208196	50373606	1636537.973	NULL	NULL	1327224.788	NULL	1121519.454	NULL	1245833.575	NULL	NULL
iostat.sda.read_byte_per_second	1511208226	50373607	1741065.144	NULL	NULL	498113.369	NULL	1526967.379	NULL	1326599.312	NULL	NULL
iostat.sda.read_byte_per_second	1511208256	50373608	1727223.438	NULL	NULL	493296.694	NULL	1417046.920	NULL	1415808.607	NULL	NULL
iostat.sda.read_byte_per_second	1511208286	50373609	548612.556	NULL	NULL	236449.194	NULL	537133.450	NULL	421324.763	NULL	NULL
iostat.sda.read_byte_per_second	1511208316	50373610	56151.774	NULL	NULL	1069567.389	NULL	151286.457	NULL	228299.683	NULL	NULL
iostat.sda.read_byte_per_second	1511208346	50373611	17464.356	NULL	NULL	2037294.131	NULL	193044.099	NULL	449526.516	NULL	NULL
iostat.sda.read_byte_per_second	1511208376	50373612	82603.520	NULL	NULL	1235054.580	NULL	321270.580	NULL	944004.970	NULL	NULL
iostat.sda.read_byte_per_second	1511208406	50373613	188420.184	NULL	NULL	174614.639	NULL	436336.346	NULL	464691.230	NULL	NULL
iostat.sda.read_byte_per_second	1511208436	50373614	223243.588	NULL	NULL	33453.589	NULL	993191.658	NULL	48468.532	NULL	NULL
iostat.sda.read_byte_per_second	1511208466	50373615	318289.477	NULL	NULL	13516.336	NULL	456331.043	NULL	4370.978	NULL	NULL
iostat.sda.read_byte_per_second	1511208496	50373616	259134.712	NULL	NULL	886378.385	NULL	82895.981	NULL	0.000	NULL	NULL
iostat.sda.read_byte_per_second	1511208526	50373617	381155.892	NULL	NULL	465710.809	NULL	32913.084	NULL	13105.853	NULL	NULL
iostat.sda.read_byte_per_second	1511208556	50373618	666526.862	NULL	NULL	660105.333	NULL	17473.012	NULL	25258.832	NULL	NULL
iostat.sda.read_byte_per_second	1511208586	50373619	411573.959	NULL	NULL	284001.975	NULL	46279.370	NULL	30583.314	NULL	NULL
iostat.sda.read_byte_per_second	1511208616	50373620	197485.679	NULL	NULL	120881.245	NULL	8738.671	NULL	17478.028	NULL	NULL
iostat.sda.read_byte_per_second	1511208646	50373621	189454.184	NULL	NULL	128627.190	NULL	41503.607	NULL	20069.369	NULL	NULL
iostat.sda.read_byte_per_second	1511208676	50373622	30570.749	NULL	NULL	478188.373	NULL	26219.680	NULL	21848.359	NULL	NULL
iostat.sda.read_byte_per_second	1511208706	50373623	13112.804	NULL	NULL	1108407.652	NULL	17474.473	NULL	30580.803	NULL	NULL
iostat.sda.read_byte_per_second	1511208736	50373624	37547.766	NULL	NULL	891167.153	NULL	43552.240	NULL	26214.403	NULL	NULL
iostat.sda.read_byte_per_second	1511208766	50373625	34398.101	NULL	NULL	9012.065	NULL	31967.269	NULL	33177.602	NULL	NULL
iostat.sda.read_byte_per_second	1511208796	50373626	42045.726	NULL	NULL	8601.521	NULL	45572.759	NULL	42598.414	NULL	NULL
iostat.sda.read_byte_per_second	1511208826	50373627	56929.722	NULL	NULL	37954.928	NULL	61031.031	NULL	70864.667	NULL	NULL
iostat.sda.read_byte_per_second	1511208856	50373628	123982.486	NULL	NULL	49428.387	NULL	53657.695	NULL	74270.048	NULL	NULL
iostat.sda.read_byte_per_second	1511208886	50373629	69375.387	NULL	NULL	52019.202	NULL	49858.491	NULL	50653.882	NULL	NULL
iostat.sda.read_byte_per_second	1511208916	50373630	68411.206	NULL	NULL	54337.975	NULL	84473.772	NULL	87100.355	NULL	NULL
iostat.sda.read_byte_per_second	1511208946	50373631	76294.822	NULL	NULL	37417.144	NULL	64456.455	NULL	42883.999	NULL	NULL
iostat.sda.read_byte_per_second	1511208976	50373632	62136.192	NULL	NULL	59239.792	NULL	55700.598	NULL	89677.476	NULL	NULL
iostat.sda.read_byte_per_second	1511209006	50373633	55160.088	NULL	NULL	74702.361	NULL	60750.689	NULL	93112.419	NULL	NULL
iostat.sda.read_byte_per_second	1511209036	50373634	69482.566	NULL	NULL	58428.683	NULL	72089.717	NULL	89841.374	NULL	NULL
iostat.sda.read_byte_per_second	1511209066	50373635	73861.325	NULL	NULL	55022.838	NULL	47513.606	NULL	51204.356	NULL	NULL
iostat.sda.read_byte_per_second	1511209096	50373636	82602.964	NULL	NULL	70587.853	NULL	69085.888	NULL	76051.936	NULL	NULL
