metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511271526	50375717	80179.119	NULL	NULL	122005.303	NULL	97541.379	NULL	77048.021	NULL	NULL
iostat.sda.write_byte_per_second	1511271556	50375718	554161.409	NULL	NULL	750572.986	NULL	551057.699	NULL	542953.392	NULL	NULL
iostat.sda.write_byte_per_second	1511271586	50375719	1521901.928	NULL	NULL	1680443.723	NULL	1515826.171	NULL	1880895.200	NULL	NULL
iostat.sda.write_byte_per_second	1511271616	50375720	2905640.484	NULL	NULL	2614305.829	NULL	2950382.285	NULL	2588260.261	NULL	NULL
iostat.sda.write_byte_per_second	1511271646	50375721	3544768.608	NULL	NULL	3681205.217	NULL	3581866.675	NULL	3684354.196	NULL	NULL
iostat.sda.write_byte_per_second	1511271676	50375722	2986187.073	NULL	NULL	2890902.160	NULL	1709293.462	NULL	2898465.650	NULL	NULL
iostat.sda.write_byte_per_second	1511271706	50375723	2228226.858	NULL	NULL	1897529.276	NULL	3183410.871	NULL	1933039.256	NULL	NULL
iostat.sda.write_byte_per_second	1511271736	50375724	3687714.799	NULL	NULL	4031144.520	NULL	3609133.323	NULL	3944248.492	NULL	NULL
iostat.sda.write_byte_per_second	1511271766	50375725	3057329.468	NULL	NULL	3113384.426	NULL	2925600.269	NULL	3175358.216	NULL	NULL
iostat.sda.write_byte_per_second	1511271796	50375726	4068380.308	NULL	NULL	3509189.150	NULL	4089965.815	NULL	4065752.417	NULL	NULL
iostat.sda.write_byte_per_second	1511271826	50375727	3109044.444	NULL	NULL	1811873.115	NULL	1800704.704	NULL	3141330.249	NULL	NULL
iostat.sda.write_byte_per_second	1511271856	50375728	4034291.903	NULL	NULL	3145024.910	NULL	2541906.054	NULL	4032341.484	NULL	NULL
iostat.sda.write_byte_per_second	1511271886	50375729	10012035.269	NULL	NULL	3642206.814	NULL	3887513.971	NULL	6827146.420	NULL	NULL
iostat.sda.write_byte_per_second	1511271916	50375730	2205039.669	NULL	NULL	9250308.389	NULL	6729727.358	NULL	5116028.254	NULL	NULL
iostat.sda.write_byte_per_second	1511271946	50375731	1990753.376	NULL	NULL	3123231.614	NULL	5561951.151	NULL	1775713.216	NULL	NULL
iostat.sda.write_byte_per_second	1511271976	50375732	3427831.189	NULL	NULL	4017584.256	NULL	3843143.351	NULL	4008829.432	NULL	NULL
iostat.sda.write_byte_per_second	1511272006	50375733	3466719.933	NULL	NULL	2867553.718	NULL	3135636.268	NULL	2911889.212	NULL	NULL
iostat.sda.write_byte_per_second	1511272036	50375734	3970858.613	NULL	NULL	1538197.851	NULL	1865766.122	NULL	4074644.232	NULL	NULL
iostat.sda.write_byte_per_second	1511272066	50375735	3082890.308	NULL	NULL	4017278.739	NULL	4152664.459	NULL	3115568.133	NULL	NULL
iostat.sda.write_byte_per_second	1511272096	50375736	4037957.832	NULL	NULL	3170727.003	NULL	2995887.362	NULL	4277754.733	NULL	NULL
iostat.sda.write_byte_per_second	1511272126	50375737	3128999.192	NULL	NULL	3997406.509	NULL	4002065.194	NULL	3136722.831	NULL	NULL
iostat.sda.write_byte_per_second	1511272156	50375738	3982540.800	NULL	NULL	3141085.956	NULL	3136664.327	NULL	1593559.312	NULL	NULL
