metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.WriteLatency.lucasdb.iot_data_dt	1511010449	50367014	mean	9.524130	3.790486	3.618405	3.249172	0.423262	0.630977	0.506424	1.833743	1.842581	0.384490
Table.WriteLatency.lucasdb.iot_data_dt	1511010479	50367015	mean	7.813092	3.596583	1.779509	2.190736	0.486576	0.537841	0.472108	1.077700	1.497235	0.393030
Table.WriteLatency.lucasdb.iot_data_dt	1511010509	50367016	mean	7.031239	3.201979	1.429246	1.380833	0.480819	1.119472	0.415048	0.855666	1.522916	0.476809
Table.WriteLatency.lucasdb.iot_data_dt	1511010539	50367017	mean	6.200261	2.778085	1.260484	1.195961	0.480302	0.917357	0.431806	0.686943	1.453508	0.498881
Table.WriteLatency.lucasdb.iot_data_dt	1511010569	50367018	mean	5.471086	2.629423	1.065911	0.955854	0.449112	0.745392	0.489308	0.988677	1.209798	0.487964
Table.WriteLatency.lucasdb.iot_data_dt	1511010599	50367019	mean	4.693839	2.464180	1.064238	0.794779	0.569187	0.600978	0.480212	0.817207	1.303193	0.460952
Table.WriteLatency.lucasdb.iot_data_dt	1511010629	50367020	mean	4.679627	2.530724	0.947226	0.711632	0.522630	0.518021	0.410161	0.769952	1.351725	0.439752
Table.WriteLatency.lucasdb.iot_data_dt	1511010659	50367021	mean	5.371940	2.543885	0.847778	0.689491	0.422693	0.508579	0.536738	0.716074	1.421948	0.429148
Table.WriteLatency.lucasdb.iot_data_dt	1511010689	50367022	mean	4.788381	2.468343	0.934411	0.769352	0.474594	0.909642	0.472350	0.861233	1.396310	0.454112
Table.WriteLatency.lucasdb.iot_data_dt	1511010719	50367023	mean	4.569174	2.314394	0.775999	0.718839	0.478443	0.769300	0.448283	0.719624	1.268695	0.454077
Table.WriteLatency.lucasdb.iot_data_dt	1511010749	50367024	mean	3.835123	2.268697	0.716127	0.673259	0.470845	0.952631	0.488880	0.713763	1.231296	0.451273
Table.WriteLatency.lucasdb.iot_data_dt	1511010779	50367025	mean	3.284399	2.180050	0.827642	0.659429	0.487372	0.803136	0.458142	0.673362	1.147123	0.422469
Table.WriteLatency.lucasdb.iot_data_dt	1511010809	50367026	mean	3.132380	2.094244	0.816080	0.584602	0.463009	0.692851	0.453367	0.619969	1.211670	0.459392
Table.WriteLatency.lucasdb.iot_data_dt	1511010839	50367027	mean	3.068835	2.020531	0.694792	0.619863	0.422154	0.624215	0.437597	0.695982	1.252519	0.456800
