metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.WriteLatency.lucasdb.iot_data_tw	1511087249	50369574	mean	0.486014	0.365522	NaN	0.372394	NaN	NaN	0.586998	0.288619	0.332102	0.285623
Table.WriteLatency.lucasdb.iot_data_tw	1511087279	50369575	mean	0.499033	0.459067	0.542582	0.635903	0.499556	0.536697	0.385595	0.751985	0.430971	0.450170
Table.WriteLatency.lucasdb.iot_data_tw	1511087309	50369576	mean	0.519013	0.443342	0.592810	0.647323	0.509273	0.492167	0.397205	0.574247	0.439607	0.480434
Table.WriteLatency.lucasdb.iot_data_tw	1511087339	50369577	mean	0.542412	0.421174	0.649458	0.587600	0.451737	0.490774	0.388844	0.521756	0.497398	0.410135
Table.WriteLatency.lucasdb.iot_data_tw	1511087369	50369578	mean	0.507748	0.387199	0.554502	0.586064	0.450049	0.535641	0.428526	0.561995	0.489104	0.458262
Table.WriteLatency.lucasdb.iot_data_tw	1511087399	50369579	mean	0.500624	0.420296	0.505263	0.545878	0.467598	0.569072	0.400767	0.540259	0.478570	0.481696
Table.WriteLatency.lucasdb.iot_data_tw	1511087429	50369580	mean	0.488774	0.419543	0.489753	0.566654	0.498340	0.569952	0.410462	0.513271	0.456331	0.454667
Table.WriteLatency.lucasdb.iot_data_tw	1511087459	50369581	mean	0.490645	0.406323	0.475753	0.633299	0.461346	0.523362	0.463849	0.514823	0.962931	0.470096
Table.WriteLatency.lucasdb.iot_data_tw	1511087489	50369582	mean	0.499598	0.383004	0.518500	0.573991	0.515838	0.648427	0.445432	0.499300	0.949888	0.482906
Table.WriteLatency.lucasdb.iot_data_tw	1511087519	50369583	mean	0.498505	0.484662	0.506135	0.656569	0.524386	0.623704	0.480176	0.486978	0.526977	0.478206
Table.WriteLatency.lucasdb.iot_data_tw	1511087549	50369584	mean	0.511475	0.466398	0.519542	0.628857	0.495300	0.611232	0.480951	0.503113	0.509448	0.465502
Table.WriteLatency.lucasdb.iot_data_tw	1511087579	50369585	mean	0.518341	0.464026	0.496285	0.570707	0.476137	0.607317	0.439322	0.506289	0.618708	0.467821
Table.WriteLatency.lucasdb.iot_data_tw	1511087609	50369586	mean	0.534128	0.465057	0.527942	0.592566	0.443414	0.567231	0.428500	0.495552	0.552801	0.484579
Table.WriteLatency.lucasdb.iot_data_tw	1511087639	50369587	mean	0.557248	0.457487	0.589691	0.608225	0.452762	0.554362	0.453339	0.499001	0.561668	0.472407
Table.WriteLatency.lucasdb.iot_data_tw	1511087669	50369588	mean	0.559804	0.448480	0.571880	0.581564	0.425553	0.522237	0.475719	0.510958	0.535848	0.469691
Table.WriteLatency.lucasdb.iot_data_tw	1511087699	50369589	mean	0.613960	0.437210	0.561786	0.591664	0.395387	0.488597	0.442984	0.498425	0.516323	0.597160
Table.WriteLatency.lucasdb.iot_data_tw	1511087729	50369590	mean	0.590918	0.436141	0.609534	0.676063	0.437712	0.505259	0.445661	0.519819	0.543226	0.540828
Table.WriteLatency.lucasdb.iot_data_tw	1511087759	50369591	mean	0.695726	0.432714	0.699365	1.175457	0.431378	0.492445	0.517333	0.499108	0.553159	0.530033
Table.WriteLatency.lucasdb.iot_data_tw	1511087789	50369592	mean	0.660352	0.565322	0.799268	0.997551	0.505454	0.499082	0.582943	0.509440	0.528198	0.484376
Table.WriteLatency.lucasdb.iot_data_tw	1511087819	50369593	mean	0.602682	0.521096	0.966866	0.908389	0.532177	0.936495	0.555773	0.539759	0.537499	0.480902
Table.WriteLatency.lucasdb.iot_data_tw	1511087849	50369594	mean	0.606615	0.507322	1.014232	0.781952	0.452294	0.814453	0.517376	0.510415	0.559375	0.452534
Table.WriteLatency.lucasdb.iot_data_tw	1511087879	50369595	mean	0.574831	0.487735	0.924940	0.680418	0.446519	0.652959	0.455685	0.496298	0.570319	0.427716
Table.WriteLatency.lucasdb.iot_data_tw	1511087909	50369596	mean	0.566671	0.484230	0.698139	0.858067	0.479254	0.631441	0.439429	0.498177	0.544990	0.419602
Table.WriteLatency.lucasdb.iot_data_tw	1511087939	50369597	mean	1.183909	0.448230	0.654005	0.774870	0.451334	0.563271	0.403852	0.475223	0.541434	0.416777
Table.WriteLatency.lucasdb.iot_data_tw	1511087969	50369598	mean	1.115125	0.458180	0.767534	0.718031	0.545731	0.716904	0.381063	0.464890	0.546689	0.716424
Table.WriteLatency.lucasdb.iot_data_tw	1511087999	50369599	mean	0.575790	0.430739	0.713199	0.693578	0.485662	0.679543	0.353508	0.463444	0.539194	0.722488
Table.WriteLatency.lucasdb.iot_data_tw	1511088029	50369600	mean	0.583189	0.426379	0.673864	0.731630	0.487792	0.609387	0.361885	0.502144	0.528884	0.614210
Table.WriteLatency.lucasdb.iot_data_tw	1511088059	50369601	mean	0.595413	0.443408	0.677714	0.737504	0.593767	0.665008	0.366022	0.490949	0.521986	0.612995
Table.WriteLatency.lucasdb.iot_data_tw	1511088089	50369602	mean	0.641849	0.449144	0.630032	0.743338	0.572409	0.668275	0.378788	0.474922	0.519058	0.595115
Table.WriteLatency.lucasdb.iot_data_tw	1511088119	50369603	mean	0.529465	0.437233	0.711009	0.769503	0.627833	0.668689	0.521912	0.505042	0.603295	0.566691
Table.WriteLatency.lucasdb.iot_data_tw	1511088149	50369604	mean	0.533596	0.415168	0.591110	0.708712	0.638949	0.925043	0.492395	0.539561	0.560374	0.428012
Table.WriteLatency.lucasdb.iot_data_tw	1511088179	50369605	mean	0.555589	0.420102	0.500162	0.638975	0.512276	0.798941	0.486566	0.534039	0.575213	0.417117
