metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160629	50372020	m15_rate	1.173135	0.879734	0.000000	0.000000	0.000000	0.000000	0.280283	0.000000	0.002216	0.000000
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160659	50372021	m15_rate	3.486806	3.024948	1.282460	1.935198	1.295129	1.169714	2.461620	1.966643	1.807164	1.779088
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160689	50372022	m15_rate	5.899048	5.462105	3.657552	4.299758	3.648536	3.475071	5.044558	4.430379	4.076244	4.018583
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160719	50372023	m15_rate	8.287171	7.623384	6.047692	6.638358	6.193071	5.861601	7.605430	6.843769	6.395189	6.267366
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160749	50372024	m15_rate	10.837474	10.110315	8.397281	8.931920	8.609967	8.070494	10.148078	9.176809	8.642975	8.485159
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160779	50372025	m15_rate	13.008063	12.161023	10.957934	11.098327	11.335250	10.579835	12.486507	11.456219	10.765312	10.516996
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160809	50372026	m15_rate	15.494278	14.649475	13.136964	13.552845	13.603084	12.723237	15.155064	13.985064	13.201234	12.933263
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160839	50372027	m15_rate	17.981359	17.117283	15.775599	15.976038	16.195399	15.198520	17.823592	16.541468	15.546156	15.300260
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160869	50372028	m15_rate	20.354036	19.424072	18.266286	18.391278	18.808115	17.668988	20.368026	18.894601	17.859481	17.617304
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160899	50372029	m15_rate	22.203428	21.565101	20.653449	20.645845	21.093424	19.938694	22.796469	21.293306	20.164295	19.849811
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160929	50372030	m15_rate	22.967727	22.201505	22.522749	21.963301	22.958865	21.726985	23.913269	22.606622	21.223356	21.101896
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160959	50372031	m15_rate	24.318737	23.398154	23.244272	22.958144	23.748348	22.462334	24.916816	23.518918	22.305749	22.115953
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160989	50372032	m15_rate	25.822728	24.763587	24.599593	24.147398	25.165153	23.855596	26.200076	24.798536	23.549118	23.097999
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161019	50372033	m15_rate	27.801679	26.689347	25.990487	25.801666	26.631317	25.254983	28.279387	26.516339	25.132836	24.880789
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161049	50372034	m15_rate	29.666372	28.478562	27.942965	27.610624	28.558194	27.209340	30.278400	28.438407	26.921080	26.669206
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161079	50372035	m15_rate	31.490848	30.259371	29.845802	29.556387	30.645689	29.005613	32.270322	30.494703	28.879981	28.700072
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161109	50372036	m15_rate	33.041209	31.763568	31.730090	31.242396	32.535510	30.738535	33.903494	32.181399	30.423955	30.343073
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161139	50372037	m15_rate	35.019978	33.642701	33.262767	32.974788	34.073464	32.134367	35.975104	33.829109	32.056871	31.951368
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161169	50372038	m15_rate	36.714208	35.228546	35.189009	34.856876	36.195237	34.032673	37.982019	35.763482	33.917034	33.886505
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161199	50372039	m15_rate	37.065487	35.793000	36.921787	36.321038	37.884865	35.704769	39.408520	37.297967	35.335406	35.377312
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161229	50372040	m15_rate	38.389482	36.728957	37.124784	36.242799	38.218048	35.679234	39.620088	37.268975	35.260093	35.246086
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161259	50372041	m15_rate	39.788293	38.078288	38.489516	37.988888	39.474255	37.173666	41.374872	39.137408	37.010790	36.873269
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161289	50372042	m15_rate	40.639407	38.838533	39.877813	38.976418	40.873031	38.530227	42.249297	40.319816	38.137522	37.886387
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161319	50372043	m15_rate	42.119790	40.270424	40.685241	39.871281	41.665443	39.311004	43.475985	41.088873	38.908881	38.633905
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161349	50372044	m15_rate	43.761647	41.867757	42.119540	41.506252	43.100070	40.808740	45.194389	42.768722	40.506024	40.350354
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161379	50372045	m15_rate	45.442398	43.370185	43.811363	42.996110	44.838658	42.457578	46.873621	44.346708	42.048745	41.905972
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161409	50372046	m15_rate	46.986050	44.846164	45.497582	44.486605	46.521891	43.995319	48.544718	46.068173	43.560661	43.406141
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161439	50372047	m15_rate	47.597043	45.552227	46.909584	45.414883	48.046321	45.505807	49.503064	46.988843	44.454246	44.336259
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161469	50372048	m15_rate	48.708130	46.472932	47.502157	46.395685	48.617355	46.005942	50.404795	47.876186	45.206244	45.192141
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161499	50372049	m15_rate	49.300694	47.043806	48.550084	47.275124	49.777805	47.124020	51.278489	48.640296	46.035636	45.981016
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161529	50372050	m15_rate	50.334968	48.127199	49.116669	48.355782	50.363450	47.743274	52.149882	49.688545	46.988277	46.919928
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161559	50372051	m15_rate	50.956129	48.996368	50.040476	49.036460	51.434163	48.693459	53.337143	50.675784	47.774456	47.752639
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161589	50372052	m15_rate	51.321221	49.212358	50.583104	49.550791	51.950265	49.146393	53.735821	51.128790	48.211409	48.164976
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161619	50372053	m15_rate	52.667552	50.358648	51.019965	50.074408	52.260005	49.496804	54.321332	51.669263	48.716134	48.663737
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161649	50372054	m15_rate	53.897902	51.550876	52.338016	51.400082	53.632416	50.677762	55.724756	52.983573	50.036968	49.918112
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161679	50372055	m15_rate	54.787644	52.323698	53.589809	52.546385	54.938865	51.828018	56.898955	54.310774	51.128720	50.987667
