metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160629	50372020	p50	0.379022	0.315852	0.000000	0.315852	0.000000	0.000000	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160659	50372021	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160689	50372022	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160719	50372023	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160749	50372024	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160779	50372025	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160809	50372026	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160839	50372027	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160869	50372028	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160899	50372029	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160929	50372030	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160959	50372031	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511160989	50372032	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161019	50372033	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161049	50372034	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161079	50372035	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161109	50372036	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161139	50372037	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161169	50372038	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161199	50372039	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161229	50372040	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161259	50372041	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161289	50372042	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161319	50372043	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161349	50372044	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161379	50372045	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161409	50372046	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161439	50372047	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161469	50372048	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161499	50372049	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161529	50372050	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161559	50372051	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161589	50372052	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161619	50372053	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161649	50372054	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161679	50372055	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161709	50372056	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161739	50372057	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161769	50372058	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161801	50372060	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161829	50372060	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161859	50372061	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161889	50372062	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161919	50372063	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161949	50372064	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511161979	50372065	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511162009	50372066	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511162039	50372067	p50	0.379022	0.315852	0.315852	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511162069	50372068	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
Table.WriteLatency.lucasdb.tw_ttl_1h_40min	1511162099	50372069	p50	0.379022	0.315852	0.263210	0.315852	0.219342	0.263210	0.219342	0.263210	0.315852	0.263210
