metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477678;50315922;mean;0,06092;0,05956;0,10939;0,078824;0,071057;0,162996;0,075643;0,049348;0,050572;0,075977;0,0794287
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477708;50315923;mean;0,052234;0,053577;0,147198;0,063938;0,051646;0,080409;0,056713;0,07285;0,05265;0,058244;0,0689459
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477738;50315924;mean;0,050769;0,05205;0,133005;0,062594;0,07604;0,072216;0,061;0,056866;0,068664;0,079424;0,0712628
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477768;50315925;mean;0,051247;0,051288;0,118385;0,056856;0,070193;0,066992;0,061137;0,05666;0,068816;0,075155;0,0676729
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477798;50315926;mean;0,050568;0,054587;0,121773;0,056298;0,065458;0,073721;0,071827;0,050326;0,068737;0,084483;0,0697778
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477828;50315927;mean;0,050482;0,05416;0,108758;0,0593;0,057273;0,076066;0,067064;0,048092;0,066384;0,073561;0,066114
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477858;50315928;mean;0,051154;0,050685;0,102676;0,061858;0,057034;0,071024;0,063681;0,043576;0,064305;0,075501;0,0641494
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477888;50315929;mean;0,052169;0,056109;0,115356;0,06398;0,05281;0,079174;0,065044;0,044903;0,064387;0,075361;0,0669293
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477918;50315930;mean;0,050848;0,060002;0,119705;0,060302;0,062842;0,078802;0,060072;0,04556;0,063875;0,069749;0,0671757
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477948;50315931;mean;0,052524;0,056864;0,121359;0,057293;0,065894;0,076801;0,056317;0,048256;0,063678;0,063089;0,0662075
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509477978;50315932;mean;0,05206;0,051805;0,110886;0,054287;0,063063;0,073709;0,058401;0,048444;0,068998;0,065626;0,0647279
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478008;50315933;mean;0,051417;0,055596;0,103353;0,060869;0,061775;0,073976;0,062194;0,049146;0,062324;0,070198;0,0650848
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478038;50315934;mean;0,052562;0,058222;0,120824;0,061535;0,062145;0,067979;0,063063;0,049043;0,058911;0,066761;0,0661045
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478068;50315935;mean;0,054137;0,059442;0,131472;0,057268;0,065064;0,068268;0,05619;0,052918;0,057838;0,06766;0,0670257
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478098;50315936;mean;0,053204;0,059003;0,134327;0,05942;0,068117;0,0749;0,062591;0,049821;0,059284;0,071077;0,0691744
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478128;50315937;mean;0,054335;0,059073;0,132843;0,058982;0,060658;0,07132;0,063718;0,047923;0,06679;0,068158;0,06838
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478158;50315938;mean;0,051135;0,056228;0,132403;0,065813;0,060781;0,068888;0,067429;0,054119;0,063003;0,063159;0,0682958
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478188;50315939;mean;0,053647;0,06506;0,127216;0,065372;0,062441;0,076131;0,07589;0,057009;0,065692;0,065759;0,0714217
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478218;50315940;mean;0,057558;0,061988;0,140089;0,061106;0,064386;0,084041;0,076636;0,047439;0,066839;0,063692;0,0723774
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478248;50315941;mean;0,057064;0,063912;0,154153;0,062938;0,071979;0,077087;0,070315;0,047056;0,070506;0,064151;0,0739161
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478278;50315942;mean;0,058064;0,063278;0,147882;0,063991;0,06444;0,07579;0,073504;0,047923;0,075043;0,067291;0,0737206
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478308;50315943;mean;0,056217;0,063059;0,137383;0,068465;0,064026;0,074556;0,074535;0,047931;0,068128;0,065978;0,0720278
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478338;50315944;mean;0,05529;0,0592;0,139567;0,066993;0,06486;0,07211;0,070674;0,052091;0,069328;0,06972;0,0719833
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478368;50315945;mean;0,055425;0,061019;0,145475;0,066971;0,065374;0,072939;0,066661;0,04984;0,066358;0,072254;0,0722316
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478398;50315946;mean;0,058509;0,060207;0,150944;0,060825;0,067144;0,075808;0,069572;0,049073;0,070983;0,074654;0,0737719
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478428;50315947;mean;0,057302;0,0546;0,135377;0,058608;0,064145;0,07615;0,07314;0,051514;0,064619;0,074817;0,0710272
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478458;50315948;mean;0,055994;0,058293;0,13734;0,056536;0,062841;0,074889;0,078791;0,052012;0,062885;0,07572;0,0715301
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478488;50315949;mean;0,058775;0,059588;0,133603;0,06814;0,067477;0,072949;0,073897;0,050179;0,070335;0,08;0,0734943
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478518;50315950;mean;0,05931;0,056379;0,137442;0,069399;0,062841;0,074349;0,063779;0,052832;0,07381;0,078336;0,0728477
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478548;50315951;mean;0,06017;0,054156;0,141114;0,065471;0,064186;0,070684;0,070164;0,049695;0,071966;0,077526;0,0725132
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478578;50315952;mean;0,055917;0,05756;0,133116;0,071261;0,062215;0,067964;0,074184;0,049431;0,068256;0,079041;0,0718945
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478608;50315953;mean;0,05465;0,061175;0,13163;0,067061;0,063796;0,069713;0,071671;0,05158;0,061542;0,075382;0,07082
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478638;50315954;mean;0,05242;0,058844;0,122261;0,061858;0,066721;0,073498;0,070718;0,052721;0,066193;0,074775;0,0700009
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478668;50315955;mean;0,055271;0,055954;0,130744;0,071238;0,068505;0,069813;0,067546;0,060056;0,069829;0,075753;0,0724709
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478698;50315956;mean;0,056399;0,057767;0,138257;0,064768;0,071906;0,081119;0,073395;0,057665;0,073186;0,074029;0,0748491
