metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527808	50317593	mean	0.033185	0.040194	0.143486	0.058372	0.038128	0.039221	0.038451	0.031583	0.033166	0.061970
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527838	50317594	mean	0.041912	0.054772	0.090342	0.057862	0.062821	0.046371	0.048727	0.045262	0.043566	0.075851
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527868	50317595	mean	0.052233	0.057893	0.125342	0.067168	0.068156	0.059323	0.066805	0.044814	0.049624	0.063131
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527898	50317596	mean	0.055107	0.076128	0.164622	0.064920	0.072775	0.067998	0.075775	0.045918	0.054554	0.081554
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527928	50317597	mean	0.055588	0.071364	0.163731	0.063037	0.071077	0.076312	0.075190	0.050322	0.053650	0.079443
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527958	50317598	mean	0.056887	0.064635	0.166472	0.065563	0.063096	0.071817	0.075491	0.053578	0.059538	0.079671
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509527988	50317599	mean	0.055079	0.062307	0.151562	0.063269	0.059121	0.067812	0.080536	0.054284	0.063635	0.079320
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528018	50317600	mean	0.052160	0.060832	0.149518	0.061531	0.062455	0.069128	0.084168	0.049988	0.065284	0.073723
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528048	50317601	mean	0.055834	0.064955	0.156454	0.067754	0.065341	0.074012	0.081668	0.050063	0.060039	0.075106
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528078	50317602	mean	0.054895	0.061914	0.159526	0.065639	0.069621	0.078387	0.075715	0.053414	0.061667	0.073550
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528108	50317603	mean	0.058650	0.060879	0.156968	0.067137	0.068162	0.074246	0.071911	0.054284	0.066287	0.075354
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528138	50317604	mean	0.059442	0.058850	0.149904	0.065411	0.068773	0.070947	0.072029	0.057563	0.063487	0.073889
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528168	50317605	mean	0.055975	0.062259	0.137324	0.059891	0.065634	0.079933	0.073504	0.055531	0.067255	0.077809
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528198	50317606	mean	0.054482	0.061462	0.162046	0.059521	0.060049	0.081812	0.080395	0.063601	0.062739	0.076126
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528228	50317607	mean	0.055678	0.059859	0.163683	0.065838	0.064779	0.076490	0.068721	0.057283	0.065095	0.077482
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528258	50317608	mean	0.059318	0.057771	0.152099	0.064150	0.066092	0.077733	0.071963	0.053261	0.060123	0.073189
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528288	50317609	mean	0.058656	0.057491	0.156191	0.102823	0.068578	0.072826	0.073566	0.051429	0.067682	0.076408
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528318	50317610	mean	0.053189	0.059730	0.152329	0.105822	0.067544	0.071552	0.072995	0.052913	0.070107	0.073534
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528348	50317611	mean	0.055646	0.061033	0.150993	0.103580	0.065218	0.073031	0.076987	0.049534	0.064685	0.069981
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528378	50317612	mean	0.054838	0.060916	0.159450	0.064415	0.066490	0.075487	0.070527	0.050195	0.064477	0.075866
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528408	50317613	mean	0.056639	0.060402	0.153740	0.062703	0.066005	0.073916	0.072138	0.052321	0.064719	0.077465
Table.WriteLatency.lucasdb.tw_ttl_2h_30min	1509528438	50317614	mean	0.059551	0.057899	0.140712	0.068892	0.062944	0.076464	0.075273	0.053076	0.066293	0.078297
