metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712395	50290413	mean	0.037027	0.042532	0.073688	0.053328	0.055222	0.036465	0.077440	0.032876	0.054546	0.040528
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712425	50290414	mean	0.042418	0.047528	0.178780	0.062487	0.060970	0.067845	0.042374	0.035592	0.059658	0.056132
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712455	50290415	mean	0.058863	0.051997	0.158036	0.054674	0.066748	0.063401	0.054800	0.045641	0.072552	0.058892
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712485	50290416	mean	0.059141	0.056262	0.142785	0.066017	0.070355	0.077665	0.068760	0.054111	0.067367	0.060081
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712515	50290417	mean	0.053749	0.058599	0.148461	0.066730	0.068677	0.072666	0.077261	0.054399	0.070316	0.064392
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712545	50290418	mean	0.050554	0.064828	0.143863	0.063015	0.059747	0.070142	0.065997	0.050987	0.065813	0.059951
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712575	50290419	mean	0.055718	0.058895	0.147268	0.069291	0.062127	0.069692	0.071353	0.051113	0.061969	0.059510
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712605	50290420	mean	0.057125	0.059583	0.167388	0.069828	0.062903	0.072370	0.064044	0.053191	0.056883	0.063604
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712635	50290421	mean	0.061099	0.056234	0.163419	0.074272	0.063502	0.072879	0.064637	0.050851	0.061300	0.066785
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712665	50290422	mean	0.056126	0.056481	0.144811	0.066301	0.065924	0.072983	0.063409	0.053878	0.066768	0.061152
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712695	50290423	mean	0.055810	0.058043	0.150120	0.067549	0.071468	0.072052	0.066724	0.061290	0.064159	0.058540
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712725	50290424	mean	0.056426	0.055895	0.153363	0.070298	0.069718	0.076885	0.075162	0.056560	0.064315	0.057622
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712755	50290425	mean	0.059466	0.055744	0.156887	0.069738	0.066900	0.070071	0.067937	0.054167	0.068292	0.058015
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712785	50290426	mean	0.054433	0.057201	0.156294	0.070948	0.066834	0.066850	0.070991	0.055114	0.063995	0.061487
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712815	50290427	mean	0.052852	0.059164	0.167453	0.069545	0.062395	0.068810	0.071524	0.056338	0.064914	0.059548
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712845	50290428	mean	0.058652	0.060891	0.167837	0.067683	0.064527	0.067511	0.073026	0.054749	0.070299	0.056648
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712875	50290429	mean	0.056310	0.059188	0.164929	0.068512	0.065671	0.067363	0.064789	0.057043	0.066200	0.059437
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712905	50290430	mean	0.054785	0.057781	0.156543	0.067102	0.063498	0.064986	0.065455	0.058459	0.067725	0.056843
Table.WriteLatency.lucasdb.tw_ttl_2h_nocompact	1508712935	50290431	mean	0.058227	0.062757	0.151150	0.066290	0.069128	0.059122	0.069654	0.054649	0.063259	0.056605
